level_code,metric_name,metric_value,period_date
L07,Headcount Utilization %,25.69,2026-03-01
L01,Days Sales Outstanding,24.5,2025-11-01
L10,Cost per Unit Shipped,305.54,2025-04-01
L02,Days Sales Outstanding,40.6,2026-04-01
L02,Operating Margin %,14.15,2025-09-01
L05,Capex to Revenue %,15.92,2025-06-01
L11,Headcount Utilization %,41.38,2026-02-01
L10,Capex to Revenue %,23.88,2025-06-01
L11,Operating Margin %,35.35,2026-05-01
L06,Cost per Unit Shipped,139.7,2026-04-01
L08,Days Sales Outstanding,40.9,2025-12-01
L06,Capex to Revenue %,22.18,2025-02-01
L06,Revenue per FTE,312090.94,2025-10-01
L05,Cost per Unit Shipped,321.13,2025-07-01
L05,Operating Margin %,24.63,2026-02-01
L11,Days Sales Outstanding,38.5,2025-04-01
L07,Capex to Revenue %,42.83,2025-06-01
L12,Headcount Utilization %,34.78,2025-09-01
L01,Days Sales Outstanding,72.1,2026-01-01
L12,Operating Margin %,39.07,2025-10-01
L06,Operating Margin %,27.12,2025-12-01
L08,Headcount Utilization %,30.22,2025-02-01
L02,Headcount Utilization %,29.31,2025-11-01
L08,Days Sales Outstanding,62.2,2025-08-01
L10,Revenue per FTE,292227.94,2025-08-01
L11,Revenue per FTE,234802.11,2026-06-01
L03,Revenue per FTE,229855.49,2025-12-01
L09,Revenue per FTE,161459.96,2026-01-01
L04,Revenue per FTE,287410.49,2025-09-01
L12,Cost per Unit Shipped,157.97,2026-04-01
L07,Capex to Revenue %,39.52,2025-11-01
L06,Days Sales Outstanding,54.1,2025-07-01
L06,Operating Margin %,38.87,2025-08-01
L09,Revenue per FTE,191845.8,2025-12-01
L01,Cost per Unit Shipped,245.56,2025-12-01
L10,Revenue per FTE,195880.12,2026-04-01
L09,Headcount Utilization %,18.71,2026-02-01
L03,Capex to Revenue %,28.64,2025-09-01
L02,Operating Margin %,8.38,2026-02-01
L04,Cost per Unit Shipped,224.8,2025-10-01
L05,Headcount Utilization %,5.48,2026-03-01
L07,Capex to Revenue %,28.88,2026-03-01
L02,Revenue per FTE,294221.11,2026-04-01
L08,Cost per Unit Shipped,487.23,2025-08-01
L02,Capex to Revenue %,32.4,2025-12-01
L10,Revenue per FTE,245824.49,2025-02-01
L04,Days Sales Outstanding,40.5,2025-10-01
L07,Headcount Utilization %,21.31,2025-04-01
