invoice_id,po_id,invoice_date,amount,payment_status
INV000061,PO000288,2024-05-23,91217.46,paid
INV000062,PO000095,2025-04-25,90458.59,paid
INV000063,PO000362,2023-12-15,98626.86,pending
INV000064,PO000211,2023-05-20,9390.37,overdue
INV000065,PO000062,2024-05-03,1746.49,pending
INV000066,PO000395,2025-04-12,57644.65,paid
INV000067,PO000541,2025-11-26,101326.45,paid
INV000068,PO000320,2023-02-13,77393.08,paid
INV000069,PO000109,2025-12-22,25972.85,paid
INV000070,PO000464,2024-01-17,60686.06,paid
INV000071,PO000193,2026-04-21,32929.37,pending
INV000072,PO000315,2023-07-21,76579.51,pending
INV000073,PO000110,2026-04-19,28538.26,overdue
INV000074,PO000192,2024-10-12,3567.46,paid
INV000075,PO000464,2023-12-31,31485.17,overdue
INV000076,PO000087,2025-07-18,51027.59,pending
INV000077,PO000515,2024-06-08,60033.78,pending
INV000078,PO000280,2025-11-13,11722.34,paid
INV000079,PO000433,2023-12-11,34833.89,paid
INV000080,PO000283,2025-10-18,71757.39,paid
INV000081,PO000112,2023-11-05,6074.86,pending
INV000082,PO000114,2023-09-16,13769.14,overdue
INV000083,PO000590,2023-01-27,28326.77,paid
INV000084,PO000283,2025-09-29,104170.31,paid
INV000085,PO000415,2023-05-24,46481.9,pending
INV000086,PO000275,2024-11-23,24432.09,paid
INV000087,PO000356,2023-10-27,34125.52,paid
INV000088,PO000004,2024-05-04,22002.29,overdue
INV000089,PO000489,2023-04-20,100632.03,paid
INV000090,PO000175,2023-06-23,80473.92,pending
INV000091,PO000341,2025-03-29,16908.0,pending
INV000092,PO000486,2024-02-17,39551.58,pending
INV000093,PO000271,2023-04-15,20311.42,paid
INV000094,PO000010,2025-03-09,41682.52,paid
INV000095,PO000002,2026-06-14,103065.14,paid
INV000096,PO000047,2025-07-22,67024.02,overdue
INV000097,PO000234,2025-06-08,59470.65,paid
INV000098,PO000097,2026-01-19,36082.15,paid
INV000099,PO000464,2024-01-09,86761.21,overdue
INV000100,PO000264,2025-11-01,57508.91,paid
INV000101,PO000014,2025-01-31,35673.59,paid
INV000102,PO000531,2023-04-11,101149.44,overdue
INV000103,PO000496,2023-11-06,31998.63,paid
INV000104,PO000022,2024-07-22,115483.49,overdue
INV000105,PO000146,2024-01-01,58844.64,pending
INV000106,PO000442,2025-12-07,24503.03,pending
INV000107,PO000387,2023-04-23,12914.35,paid
INV000108,PO000558,2025-07-05,116507.67,overdue
INV000109,PO000180,2023-07-12,107436.56,paid
INV000110,PO000340,2025-01-09,69601.62,overdue
INV000111,PO000283,2025-10-04,22649.46,paid
INV000112,PO000352,2023-10-04,14684.84,paid
INV000113,PO000581,2024-08-26,34174.53,overdue
INV000114,PO000511,2024-06-09,17532.04,paid
INV000115,PO000536,2025-11-09,73683.07,paid
INV000116,PO000311,2025-02-11,34157.02,paid
INV000117,PO000016,2023-12-06,5024.27,paid
INV000118,PO000127,2026-01-18,57729.57,pending
INV000119,PO000361,2025-11-22,98458.16,pending
INV000120,PO000142,2023-10-08,103713.46,paid
INV000121,PO000515,2024-06-23,113114.16,paid
INV000122,PO000089,2023-05-24,17003.49,paid
INV000123,PO000443,2024-06-28,108371.01,paid
INV000124,PO000033,2024-09-06,110099.72,pending
INV000125,PO000396,2026-01-30,47215.58,overdue
INV000126,PO000268,2025-07-11,70531.17,pending
INV000127,PO000447,2025-04-02,103384.84,paid
INV000128,PO000143,2024-04-05,90630.39,paid
INV000129,PO000427,2025-02-03,23703.83,paid
INV000130,PO000305,2025-05-15,109414.58,paid
INV000131,PO000188,2023-10-11,92367.4,paid
INV000132,PO000099,2026-05-07,62230.11,paid
INV000133,PO000516,2023-12-04,84144.1,paid
INV000134,PO000438,2023-10-27,49735.57,paid
INV000135,PO000029,2023-10-28,3312.53,paid
INV000136,PO000091,2024-09-06,72671.57,paid
INV000137,PO000249,2023-12-30,60537.96,pending
INV000138,PO000557,2023-09-18,103605.46,pending
INV000139,PO000403,2023-08-13,47666.58,pending
INV000140,PO000531,2023-03-29,99057.53,pending
INV000141,PO000277,2024-12-05,12810.36,paid
INV000142,PO000298,2025-10-19,56916.92,paid
INV000143,PO000063,2026-02-15,87427.71,paid
INV000144,PO000055,2024-10-23,24356.59,pending
INV000145,PO000508,2025-03-04,26533.43,paid
INV000146,PO000159,2023-10-03,74206.61,paid
INV000147,PO000007,2023-07-01,73667.61,pending
INV000148,PO000069,2024-03-01,18226.0,overdue
INV000149,PO000533,2023-03-15,29320.88,pending
INV000150,PO000026,2023-12-14,52481.51,pending
INV000151,PO000125,2023-12-26,47856.85,overdue
INV000152,PO000241,2023-06-15,30859.99,paid
INV000153,PO000450,2024-07-02,72901.27,paid
INV000154,PO000023,2025-12-25,16890.63,paid
INV000155,PO000247,2023-08-26,60456.47,paid
INV000156,PO000206,2025-03-18,56798.95,paid
INV000157,PO000103,2026-05-14,58271.18,paid
INV000158,PO000401,2025-02-07,82383.49,pending
INV000159,PO000427,2025-01-26,17654.02,paid
INV000160,PO000124,2023-05-11,46074.78,paid
INV000161,PO000035,2023-11-07,76819.75,paid
INV000162,PO000456,2025-02-28,107175.16,paid
INV000163,PO000143,2024-03-22,104149.57,paid
INV000164,PO000010,2025-02-09,42342.67,overdue
INV000165,PO000516,2023-11-04,41292.65,paid
INV000166,PO000400,2023-09-16,7593.81,paid
INV000167,PO000361,2025-11-21,84922.83,paid
INV000168,PO000144,2024-06-04,92668.4,paid
INV000169,PO000404,2026-04-25,108123.65,paid
INV000170,PO000386,2023-10-22,71568.16,pending
INV000171,PO000520,2025-10-02,62096.11,pending
INV000172,PO000332,2024-11-14,112721.92,paid
INV000173,PO000414,2023-06-17,5492.65,overdue
INV000174,PO000163,2026-06-10,11572.46,pending
INV000175,PO000488,2026-06-10,89717.31,overdue
INV000176,PO000243,2024-01-06,106195.77,pending
INV000177,PO000394,2026-07-25,108855.87,pending
INV000178,PO000257,2024-07-22,4607.87,paid
INV000179,PO000453,2023-09-10,71649.62,paid
INV000180,PO000179,2026-07-13,12882.47,paid
INV000181,PO000137,2024-07-23,67791.24,pending
INV000182,PO000259,2025-02-26,51739.25,paid
INV000183,PO000207,2024-09-27,51332.62,paid
INV000184,PO000197,2026-06-21,68772.32,paid
INV000185,PO000099,2026-05-12,4115.58,pending
INV000186,PO000006,2024-04-03,91422.63,paid
INV000187,PO000074,2023-09-27,22028.85,paid
INV000188,PO000541,2025-11-25,22598.13,pending
INV000189,PO000486,2024-02-22,41678.09,paid
INV000190,PO000573,2025-07-20,94628.0,paid
INV000191,PO000386,2023-09-26,67246.16,pending
INV000192,PO000530,2024-02-23,12087.55,paid
INV000193,PO000053,2024-02-29,63875.38,pending
INV000194,PO000297,2024-09-29,46192.23,paid
INV000195,PO000162,2024-05-13,9008.75,paid
INV000196,PO000531,2023-04-08,59105.54,paid
INV000197,PO000059,2025-07-08,82367.61,pending
INV000198,PO000483,2023-07-28,77150.73,pending
INV000199,PO000432,2026-01-20,23820.23,overdue
INV000200,PO000061,2026-05-04,24258.68,paid
INV000201,PO000338,2023-03-19,107671.24,pending
INV000202,PO000506,2024-12-28,95106.99,paid
INV000203,PO000037,2025-06-08,115768.4,overdue
INV000204,PO000083,2025-10-03,56599.28,pending
INV000205,PO000043,2025-11-24,4393.69,paid
INV000206,PO000359,2023-04-09,56460.41,paid
INV000207,PO000234,2025-05-07,109900.84,pending
INV000208,PO000201,2023-02-25,71838.76,paid
INV000209,PO000019,2023-04-30,57000.02,paid
INV000210,PO000387,2023-04-27,14952.96,paid
INV000211,PO000563,2023-02-25,13815.7,pending
INV000212,PO000377,2025-08-30,23011.46,paid
INV000213,PO000060,2026-02-25,27533.54,paid
INV000214,PO000233,2025-08-29,88252.64,overdue
INV000215,PO000550,2025-11-02,5592.85,paid
INV000216,PO000256,2026-03-14,9224.86,pending
INV000217,PO000185,2026-07-11,5350.15,paid
INV000218,PO000251,2025-04-16,15480.57,paid
INV000219,PO000126,2026-04-07,9247.49,paid
INV000220,PO000557,2023-08-26,58502.67,paid
INV000221,PO000366,2025-03-27,52449.23,paid
INV000222,PO000376,2024-01-25,34678.11,paid
INV000223,PO000540,2024-05-07,37761.58,paid
INV000224,PO000107,2023-11-01,41033.66,paid
INV000225,PO000498,2025-01-19,9440.95,overdue
INV000226,PO000534,2026-03-15,36121.84,paid
INV000227,PO000126,2026-03-19,85594.49,paid
INV000228,PO000037,2025-06-01,82464.68,paid
INV000229,PO000465,2026-03-13,2707.92,paid
INV000230,PO000277,2024-11-11,69494.69,paid
INV000231,PO000087,2025-06-29,33077.09,paid
INV000232,PO000508,2025-02-25,101834.64,paid
INV000233,PO000046,2023-04-18,24435.01,pending
INV000234,PO000442,2025-12-18,6356.19,paid
INV000235,PO000555,2025-04-20,110604.97,overdue
INV000236,PO000345,2024-05-25,95646.71,paid
INV000237,PO000029,2023-10-14,85697.62,paid
INV000238,PO000438,2023-10-01,95311.33,paid
INV000239,PO000295,2024-03-29,54800.6,paid
INV000240,PO000582,2023-08-02,30839.86,overdue
INV000241,PO000479,2023-08-22,15734.61,pending
INV000242,PO000281,2023-12-24,117859.36,paid
INV000243,PO000303,2023-06-19,67473.53,pending
INV000244,PO000281,2024-01-11,31858.44,paid
INV000245,PO000013,2023-09-05,36352.25,paid
INV000246,PO000271,2023-04-22,52480.66,pending
INV000247,PO000010,2025-02-28,4559.04,paid
INV000248,PO000570,2023-06-23,48334.36,paid
INV000249,PO000082,2024-03-07,105871.82,paid
INV000250,PO000066,2024-05-19,21380.9,paid
INV000251,PO000283,2025-10-01,102574.72,pending
INV000252,PO000179,2026-07-02,102831.98,paid
INV000253,PO000239,2023-11-19,77311.98,pending
INV000254,PO000519,2023-02-24,68511.13,pending
INV000255,PO000234,2025-05-09,112310.71,overdue
INV000256,PO000264,2025-09-21,80114.09,overdue
INV000257,PO000362,2023-12-14,84818.01,paid
INV000258,PO000359,2023-03-19,9327.04,paid
INV000259,PO000524,2026-02-13,28116.09,paid
INV000260,PO000381,2024-10-17,49201.23,paid
INV000261,PO000290,2025-05-09,3109.02,paid
INV000262,PO000369,2026-04-19,115066.64,overdue
INV000263,PO000384,2024-03-31,111224.09,paid
INV000264,PO000032,2023-07-13,43585.97,paid
INV000265,PO000154,2026-07-08,3208.06,paid
INV000266,PO000321,2025-06-07,84517.47,paid
INV000267,PO000596,2023-10-09,110924.91,paid
INV000268,PO000597,2026-02-09,77601.59,pending
INV000269,PO000081,2023-07-28,113126.04,overdue
INV000270,PO000579,2024-12-21,117742.37,paid
INV000271,PO000429,2023-08-31,86552.78,paid
INV000272,PO000541,2025-10-28,71716.62,paid
INV000273,PO000533,2023-04-06,37535.46,pending
INV000274,PO000590,2023-01-28,107523.99,paid
INV000275,PO000371,2025-01-26,53895.73,paid
INV000276,PO000119,2023-07-03,28595.27,paid
INV000277,PO000420,2026-06-25,9587.49,paid
INV000278,PO000079,2025-11-28,77162.27,paid
INV000279,PO000460,2026-01-24,27266.12,paid
INV000280,PO000129,2024-02-08,29054.39,overdue
INV000281,PO000599,2026-03-02,16472.91,paid
INV000282,PO000294,2023-11-08,37170.86,pending
INV000283,PO000432,2026-02-05,116026.59,paid
INV000284,PO000203,2023-03-14,103440.59,pending
INV000285,PO000124,2023-05-01,31225.71,paid
INV000286,PO000482,2025-07-09,15089.68,pending
INV000287,PO000442,2025-11-15,81487.49,overdue
INV000288,PO000136,2024-10-05,102318.46,overdue
INV000289,PO000433,2023-12-21,15213.96,paid
INV000290,PO000248,2024-03-17,14221.69,overdue
INV000291,PO000345,2024-06-15,71911.63,pending
INV000292,PO000047,2025-07-25,87224.56,paid
INV000293,PO000460,2026-01-24,74512.01,paid
INV000294,PO000447,2025-03-08,89452.36,paid
INV000295,PO000188,2023-10-24,108145.07,overdue
INV000296,PO000086,2025-08-07,105701.58,paid
INV000297,PO000379,2024-05-19,76699.88,paid
INV000298,PO000450,2024-06-01,60121.0,paid
INV000299,PO000100,2025-11-15,35227.66,paid
INV000300,PO000578,2025-05-31,105902.13,paid
INV000301,PO000437,2024-11-15,38225.85,paid
INV000302,PO000183,2025-03-02,5139.88,overdue
INV000303,PO000216,2026-01-09,61354.1,paid
INV000304,PO000322,2024-01-04,41117.31,pending
INV000305,PO000295,2024-03-12,57525.69,pending
INV000306,PO000174,2026-04-05,110838.33,paid
INV000307,PO000109,2025-12-28,78705.88,pending
INV000308,PO000212,2023-12-07,99009.46,paid
INV000309,PO000029,2023-10-31,106519.37,overdue
INV000310,PO000553,2026-07-30,94321.26,pending
INV000311,PO000027,2025-08-11,24130.0,overdue
INV000312,PO000585,2025-06-08,86440.13,paid
INV000313,PO000465,2026-03-24,108339.83,paid
INV000314,PO000123,2026-07-30,104910.04,paid
INV000315,PO000089,2023-05-15,117184.5,paid
INV000316,PO000120,2025-08-07,94868.92,paid
INV000317,PO000228,2024-01-31,38734.23,paid
INV000318,PO000283,2025-10-14,74487.5,paid
INV000319,PO000076,2026-07-06,37284.61,overdue
INV000320,PO000444,2025-11-01,110032.95,paid
INV000321,PO000326,2023-06-26,99320.58,paid
INV000322,PO000037,2025-06-26,74094.18,pending
INV000323,PO000386,2023-10-06,79520.35,paid
INV000324,PO000156,2023-07-18,96073.75,paid
INV000325,PO000290,2025-05-08,23591.9,overdue
INV000326,PO000529,2025-04-23,576.69,pending
INV000327,PO000572,2023-09-30,24766.83,pending
INV000328,PO000429,2023-09-10,31190.1,paid
INV000329,PO000598,2025-06-30,75322.78,paid
INV000330,PO000185,2026-07-12,99233.5,overdue
INV000331,PO000497,2023-09-20,94056.7,paid
INV000332,PO000366,2025-04-16,56856.98,pending
INV000333,PO000116,2024-10-02,49628.18,paid
INV000334,PO000254,2026-07-22,50249.13,pending
INV000335,PO000327,2023-04-14,13574.58,paid
INV000336,PO000132,2025-05-30,99166.23,overdue
INV000337,PO000422,2023-05-29,27866.51,paid
INV000338,PO000520,2025-09-03,105019.69,paid
INV000339,PO000063,2026-03-15,91117.88,paid
INV000340,PO000326,2023-07-10,46304.37,paid
INV000341,PO000409,2023-11-06,107677.04,paid
INV000342,PO000225,2026-02-15,75152.16,pending
INV000343,PO000459,2026-07-18,26270.32,overdue
INV000344,PO000549,2025-07-08,92031.23,pending
INV000345,PO000338,2023-02-13,71464.43,pending
INV000346,PO000022,2024-08-06,10831.77,paid
INV000347,PO000362,2023-12-15,7676.15,pending
INV000348,PO000216,2026-01-05,63278.68,overdue
INV000349,PO000549,2025-07-20,101475.35,pending
INV000350,PO000166,2024-01-19,39250.95,pending
INV000351,PO000255,2026-06-20,4449.63,pending
INV000352,PO000540,2024-04-26,59276.62,paid
INV000353,PO000044,2024-06-13,33547.97,pending
INV000354,PO000254,2026-06-12,32295.58,pending
INV000355,PO000387,2023-04-24,47408.46,paid
INV000356,PO000277,2024-10-30,9214.89,paid
INV000357,PO000426,2023-03-16,1936.58,paid
INV000358,PO000156,2023-06-23,86885.89,paid
INV000359,PO000199,2025-09-21,101425.9,paid
INV000360,PO000436,2023-10-04,87782.34,paid
INV000361,PO000470,2025-11-10,11942.21,overdue
INV000362,PO000591,2025-03-08,44561.21,paid
INV000363,PO000228,2024-02-22,66285.36,paid
INV000364,PO000547,2023-12-30,29015.53,pending
INV000365,PO000509,2026-01-29,112281.68,paid
INV000366,PO000111,2025-06-01,26594.37,overdue
INV000367,PO000407,2026-02-18,52866.65,paid
INV000368,PO000112,2023-11-03,36789.84,pending
INV000369,PO000086,2025-08-04,66272.3,pending
INV000370,PO000502,2024-08-04,29646.36,pending
INV000371,PO000485,2023-03-19,85373.22,paid
INV000372,PO000239,2023-11-15,90600.72,paid
INV000373,PO000319,2024-07-26,98483.3,pending
INV000374,PO000579,2024-12-27,48089.74,pending
INV000375,PO000215,2025-12-14,93815.16,paid
INV000376,PO000321,2025-06-16,27970.09,paid
INV000377,PO000495,2023-11-20,65556.29,paid
INV000378,PO000084,2025-05-06,50347.7,pending
INV000379,PO000131,2023-04-04,19294.57,paid
INV000380,PO000171,2024-07-28,51749.43,overdue
INV000381,PO000040,2026-01-07,58532.74,paid
INV000382,PO000538,2023-12-06,16676.14,overdue
INV000383,PO000429,2023-08-22,1290.65,pending
INV000384,PO000302,2025-09-20,32136.48,paid
INV000385,PO000381,2024-10-10,76796.0,pending
INV000386,PO000536,2025-12-04,24285.6,paid
INV000387,PO000381,2024-10-07,71412.19,paid
INV000388,PO000216,2026-01-03,109409.98,paid
INV000389,PO000139,2025-03-10,61971.78,paid
INV000390,PO000011,2024-07-08,49240.49,pending
INV000391,PO000069,2024-03-01,36934.81,pending
INV000392,PO000097,2026-02-16,54222.32,pending
INV000393,PO000480,2026-06-30,18630.17,paid
INV000394,PO000573,2025-07-26,40835.99,pending
INV000395,PO000198,2025-10-30,33677.3,overdue
INV000396,PO000437,2024-12-04,86114.26,paid
INV000397,PO000413,2023-07-15,66299.03,paid
INV000398,PO000208,2025-12-20,70012.89,pending
INV000399,PO000222,2024-12-07,21206.72,paid
INV000400,PO000130,2025-08-01,69385.95,paid
INV000401,PO000339,2025-08-04,91139.09,paid
INV000402,PO000284,2025-04-03,78948.94,paid
INV000403,PO000173,2025-12-27,92480.39,overdue
INV000404,PO000094,2026-02-28,17456.72,pending
INV000405,PO000001,2024-07-20,9363.36,overdue
INV000406,PO000141,2024-08-07,95292.21,paid
INV000407,PO000484,2024-02-12,35841.37,paid
INV000408,PO000247,2023-09-20,46524.46,paid
INV000409,PO000486,2024-02-12,36925.54,paid
INV000410,PO000544,2026-06-10,104251.04,paid
INV000411,PO000171,2024-08-25,98398.66,paid
INV000412,PO000448,2024-05-05,52226.0,paid
INV000413,PO000257,2024-08-27,14364.25,overdue
INV000414,PO000357,2023-01-31,3179.82,paid
INV000415,PO000478,2024-07-21,40957.81,paid
INV000416,PO000574,2023-08-01,45253.48,pending
INV000417,PO000011,2024-06-30,52277.09,paid
INV000418,PO000006,2024-04-17,36764.02,pending
INV000419,PO000378,2025-02-08,59429.06,pending
INV000420,PO000280,2025-10-23,76442.29,paid
INV000421,PO000408,2024-06-17,117497.92,paid
INV000422,PO000281,2024-01-28,6941.34,paid
INV000423,PO000032,2023-08-02,117673.88,paid
INV000424,PO000503,2023-11-13,55972.22,overdue
INV000425,PO000559,2025-09-29,4699.21,pending
INV000426,PO000157,2025-07-12,102793.58,pending
INV000427,PO000430,2025-04-29,6802.45,paid
INV000428,PO000064,2023-09-18,11682.61,paid
INV000429,PO000199,2025-09-24,72529.65,pending
INV000430,PO000325,2025-04-28,106894.38,paid
INV000431,PO000376,2024-01-23,1869.37,paid
INV000432,PO000427,2025-02-10,79083.73,pending
INV000433,PO000514,2025-08-10,86071.14,pending
INV000434,PO000455,2025-12-22,32656.9,pending
INV000435,PO000518,2023-12-17,20575.66,paid
INV000436,PO000004,2024-05-17,32449.3,paid
INV000437,PO000350,2026-06-14,67130.81,paid
INV000438,PO000580,2026-03-08,10585.48,overdue
INV000439,PO000187,2026-05-09,22070.62,paid
INV000440,PO000021,2023-07-22,93113.18,pending
INV000441,PO000384,2024-03-30,9774.19,paid
INV000442,PO000253,2025-08-12,98834.92,paid
INV000443,PO000196,2026-05-22,36775.38,paid
INV000444,PO000294,2023-10-29,33061.89,paid
INV000445,PO000424,2024-09-01,98595.43,paid
INV000446,PO000205,2024-01-08,115558.97,paid
INV000447,PO000451,2024-11-06,11086.14,paid
INV000448,PO000373,2023-08-08,91185.25,paid
INV000449,PO000175,2023-06-05,112070.55,paid
INV000450,PO000160,2023-03-17,67194.19,overdue
INV000451,PO000445,2024-05-07,76299.74,paid
INV000452,PO000296,2023-12-17,40508.94,overdue
INV000453,PO000565,2025-05-27,10891.23,paid
INV000454,PO000265,2023-10-29,55293.67,pending
INV000455,PO000119,2023-06-22,77751.53,pending
INV000456,PO000144,2024-06-16,69327.49,paid
INV000457,PO000387,2023-04-25,69512.43,pending
INV000458,PO000108,2025-06-30,42476.55,overdue
INV000459,PO000163,2026-06-22,56213.42,paid
INV000460,PO000103,2026-04-18,107768.93,paid
INV000461,PO000479,2023-09-10,22129.73,pending
INV000462,PO000468,2026-07-05,68048.7,paid
INV000463,PO000409,2023-11-20,98456.56,paid
INV000464,PO000383,2026-01-29,40002.06,paid
INV000465,PO000308,2024-02-05,114556.2,overdue
INV000466,PO000520,2025-08-27,49792.15,paid
INV000467,PO000592,2024-12-13,70064.36,pending
INV000468,PO000171,2024-08-04,104640.92,overdue
INV000469,PO000537,2023-08-01,112285.98,paid
INV000470,PO000143,2024-03-01,78349.28,paid
INV000471,PO000056,2023-12-13,36632.42,paid
INV000472,PO000355,2024-02-23,46848.08,paid
INV000473,PO000152,2024-07-26,104212.07,paid
INV000474,PO000083,2025-09-09,28022.43,pending
INV000475,PO000093,2026-06-20,18357.45,paid
INV000476,PO000384,2024-03-01,56431.13,paid
INV000477,PO000483,2023-08-16,81103.44,paid
INV000478,PO000484,2024-03-05,44527.15,paid
INV000479,PO000249,2023-11-29,45856.21,paid
INV000480,PO000137,2024-07-08,91290.08,overdue
INV000481,PO000435,2023-04-14,46595.57,pending
INV000482,PO000501,2024-09-22,87422.55,paid
INV000483,PO000228,2024-03-05,21187.25,pending
INV000484,PO000371,2025-02-02,59271.51,pending
INV000485,PO000408,2024-06-19,76249.0,pending
INV000486,PO000193,2026-04-19,25083.17,paid
INV000487,PO000348,2023-10-05,77246.49,paid
INV000488,PO000292,2024-04-20,45766.87,paid
INV000489,PO000036,2025-10-16,113112.8,paid
INV000490,PO000168,2024-02-23,80579.63,paid
INV000491,PO000477,2023-01-28,40992.59,paid
INV000492,PO000415,2023-04-29,19152.11,pending
INV000493,PO000520,2025-09-14,81045.98,pending
INV000494,PO000412,2025-12-30,91066.17,paid
INV000495,PO000265,2023-11-25,13859.9,paid
INV000496,PO000462,2025-01-14,44118.82,paid
INV000497,PO000344,2024-01-15,114674.53,pending
INV000498,PO000184,2026-07-29,62835.63,paid
INV000499,PO000082,2024-02-28,1019.5,overdue
INV000500,PO000265,2023-10-28,60854.78,paid
INV000501,PO000466,2025-11-07,5918.44,paid
INV000502,PO000125,2024-01-07,54417.53,pending
INV000503,PO000379,2024-04-22,50347.76,paid
INV000504,PO000025,2025-04-22,31680.34,paid
INV000505,PO000428,2023-01-13,52829.52,paid
INV000506,PO000037,2025-06-24,13356.29,paid
INV000507,PO000545,2023-08-14,29488.23,pending
INV000508,PO000097,2026-01-21,85815.56,paid
INV000509,PO000442,2025-12-01,40886.5,paid
INV000510,PO000250,2025-08-31,67236.24,pending
INV000511,PO000335,2023-03-18,4710.25,paid
INV000512,PO000104,2026-05-29,60588.08,paid
INV000513,PO000346,2023-09-15,88463.65,paid
INV000514,PO000023,2025-12-25,112152.28,paid
INV000515,PO000082,2024-03-17,113895.85,paid
INV000516,PO000585,2025-05-28,117401.39,paid
INV000517,PO000553,2026-07-11,81983.49,pending
INV000518,PO000588,2023-02-16,25551.65,overdue
INV000519,PO000282,2023-11-14,91884.8,paid
INV000520,PO000047,2025-08-28,47163.4,pending
INV000521,PO000292,2024-04-18,795.01,pending
INV000522,PO000425,2025-04-29,15486.55,paid
INV000523,PO000326,2023-06-20,26271.93,pending
INV000524,PO000333,2026-06-19,7706.51,paid
INV000525,PO000472,2026-02-04,49766.09,paid
INV000526,PO000555,2025-04-22,56226.02,paid
INV000527,PO000352,2023-09-16,37853.92,paid
INV000528,PO000156,2023-07-16,100843.14,paid
INV000529,PO000546,2023-08-12,20227.58,paid
INV000530,PO000413,2023-07-01,78030.28,paid
INV000531,PO000081,2023-09-02,57514.24,overdue
INV000532,PO000086,2025-08-11,88315.68,paid
INV000533,PO000312,2024-07-08,88651.02,paid
INV000534,PO000479,2023-08-08,18565.08,paid
INV000535,PO000361,2025-11-16,51034.33,overdue
INV000536,PO000024,2025-11-05,65748.57,paid
INV000537,PO000241,2023-06-05,108714.57,pending
INV000538,PO000127,2026-01-21,46819.31,pending
INV000539,PO000114,2023-10-08,34285.31,overdue
INV000540,PO000411,2025-01-30,48323.21,paid
INV000541,PO000429,2023-09-04,33052.03,paid
INV000542,PO000109,2026-01-25,104424.48,overdue
INV000543,PO000326,2023-07-16,63296.87,paid
INV000544,PO000414,2023-07-14,89354.36,paid
INV000545,PO000461,2024-06-12,109036.66,pending
INV000546,PO000296,2023-12-04,62948.02,paid
INV000547,PO000476,2023-11-12,20493.48,overdue
INV000548,PO000393,2023-11-09,77135.68,overdue
INV000549,PO000421,2024-04-18,75169.91,paid
INV000550,PO000142,2023-10-25,73226.61,overdue
INV000551,PO000585,2025-06-07,111578.61,paid
INV000552,PO000256,2026-03-21,67264.26,paid
INV000553,PO000094,2026-02-12,2876.36,paid
INV000554,PO000399,2023-03-31,60435.32,pending
