po_id,supplier_id,po_date,status,total_amount,currency
PO000041,SUP00062,2024-09-07,approved,15552.82,EUR
PO000042,SUP00032,2025-12-07,closed,68332.15,USD
PO000043,SUP00006,2025-11-17,approved,51133.39,USD
PO000044,SUP00073,2024-06-02,closed,70371.75,USD
PO000045,SUP00003,2023-08-22,closed,55679.75,USD
PO000046,SUP00051,2023-04-03,draft,105241.45,USD
PO000047,SUP00076,2025-07-20,closed,54131.26,USD
PO000048,SUP00044,2024-01-19,approved,9616.91,GBP
PO000049,SUP00034,2023-08-06,closed,2395.35,USD
PO000050,SUP00002,2023-12-18,closed,55354.52,USD
PO000051,SUP00078,2025-09-23,approved,97622.61,USD
PO000052,SUP00051,2024-09-11,draft,16429.9,USD
PO000053,SUP00003,2024-01-21,closed,25305.23,USD
PO000054,SUP00031,2025-06-11,closed,103018.18,USD
PO000055,SUP00012,2024-09-08,closed,17992.84,USD
PO000056,SUP00015,2023-12-07,cancelled,88719.05,USD
PO000057,SUP00063,2025-08-23,draft,54079.57,USD
PO000058,SUP00038,2026-03-12,closed,47160.07,USD
PO000059,SUP00014,2025-06-03,cancelled,101871.8,USD
PO000060,SUP00077,2026-02-09,cancelled,4682.81,USD
PO000061,SUP00066,2026-04-25,closed,112249.89,EUR
PO000062,SUP00063,2024-04-19,closed,63514.98,USD
PO000063,SUP00041,2026-02-07,draft,107172.04,USD
PO000064,SUP00061,2023-08-28,closed,112691.0,USD
PO000065,SUP00056,2023-02-12,approved,87213.54,USD
PO000066,SUP00057,2024-04-20,closed,70622.13,USD
PO000067,SUP00078,2025-08-17,approved,35383.94,USD
PO000068,SUP00054,2025-01-07,closed,96020.67,USD
PO000069,SUP00080,2024-02-29,approved,89973.2,USD
PO000070,SUP00017,2023-12-21,approved,72788.44,USD
PO000071,SUP00054,2025-10-08,approved,25329.59,USD
PO000072,SUP00003,2025-01-04,closed,43006.0,USD
PO000073,SUP00065,2023-03-07,closed,40693.74,USD
PO000074,SUP00030,2023-09-05,closed,58492.24,GBP
PO000075,SUP00046,2023-04-06,closed,66953.43,EUR
PO000076,SUP00066,2026-05-22,closed,84841.99,EUR
PO000077,SUP00057,2025-07-25,cancelled,90752.78,GBP
PO000078,SUP00079,2026-06-02,closed,113699.17,USD
PO000079,SUP00006,2025-11-04,approved,75683.65,EUR
PO000080,SUP00047,2023-11-18,closed,85052.56,USD
PO000081,SUP00064,2023-07-23,approved,43807.49,USD
PO000082,SUP00016,2024-02-18,closed,50036.04,USD
PO000083,SUP00032,2025-08-28,approved,60726.47,USD
PO000084,SUP00048,2025-04-29,closed,79883.18,USD
PO000085,SUP00068,2025-05-13,closed,16774.82,USD
PO000086,SUP00053,2025-07-28,cancelled,62059.6,USD
PO000087,SUP00004,2025-06-25,approved,1441.36,USD
PO000088,SUP00009,2023-06-23,approved,48347.69,USD
PO000089,SUP00056,2023-05-06,closed,4691.97,EUR
PO000090,SUP00020,2026-03-22,draft,75885.01,USD
PO000091,SUP00067,2024-08-28,closed,106322.5,USD
PO000092,SUP00039,2024-10-04,cancelled,1196.29,USD
PO000093,SUP00068,2026-06-04,cancelled,84110.33,USD
PO000094,SUP00027,2026-01-19,closed,74277.95,USD
PO000095,SUP00045,2025-04-08,closed,105746.72,USD
PO000096,SUP00069,2024-11-16,closed,86335.94,EUR
PO000097,SUP00067,2026-01-12,approved,11365.14,USD
PO000098,SUP00067,2024-11-28,closed,19413.27,USD
PO000099,SUP00070,2026-04-28,approved,99909.42,USD
PO000100,SUP00055,2025-10-31,approved,7428.5,USD
PO000101,SUP00065,2024-12-26,approved,90848.05,EUR
PO000102,SUP00058,2024-09-02,closed,874.3,USD
PO000103,SUP00031,2026-04-06,closed,107347.08,USD
PO000104,SUP00069,2026-05-04,approved,36079.39,USD
PO000105,SUP00074,2023-10-14,closed,62480.08,USD
PO000106,SUP00042,2025-11-23,closed,98785.42,USD
PO000107,SUP00013,2023-10-28,closed,99455.41,USD
PO000108,SUP00008,2025-05-20,closed,57281.31,USD
PO000109,SUP00048,2025-12-13,closed,67186.47,USD
PO000110,SUP00034,2026-04-11,closed,50954.81,USD
PO000111,SUP00063,2025-05-03,closed,17535.46,USD
PO000112,SUP00059,2023-09-22,cancelled,61703.96,USD
PO000113,SUP00028,2025-07-21,closed,89642.93,EUR
PO000114,SUP00048,2023-09-01,closed,49182.23,USD
PO000115,SUP00074,2024-08-16,draft,18608.22,USD
PO000116,SUP00048,2024-09-13,approved,3600.34,USD
PO000117,SUP00076,2025-05-13,draft,107336.79,EUR
PO000118,SUP00028,2024-01-10,closed,58783.04,USD
PO000119,SUP00045,2023-05-19,closed,50254.62,USD
PO000120,SUP00073,2025-07-15,cancelled,93816.58,USD
PO000121,SUP00078,2023-09-29,closed,60695.47,USD
PO000122,SUP00058,2025-07-08,approved,87411.73,USD
PO000123,SUP00080,2026-07-01,closed,28130.47,USD
PO000124,SUP00070,2023-04-04,cancelled,106832.67,USD
PO000125,SUP00012,2023-12-06,closed,68746.38,USD
PO000126,SUP00040,2026-02-23,closed,77358.72,USD
PO000127,SUP00080,2026-01-14,closed,6581.71,USD
PO000128,SUP00025,2025-09-01,closed,2485.02,USD
PO000129,SUP00069,2024-01-04,cancelled,33176.76,USD
PO000130,SUP00075,2025-06-28,draft,64141.88,USD
PO000131,SUP00076,2023-04-03,closed,112078.39,USD
PO000132,SUP00024,2025-04-29,draft,63466.24,USD
PO000133,SUP00012,2023-08-23,cancelled,65128.07,USD
PO000134,SUP00024,2024-06-07,closed,18718.73,GBP
PO000135,SUP00022,2023-05-01,closed,39203.56,USD
PO000136,SUP00008,2024-09-02,closed,38574.97,USD
PO000137,SUP00042,2024-06-12,closed,99372.03,USD
PO000138,SUP00026,2024-05-05,closed,70426.98,USD
PO000139,SUP00065,2025-02-27,cancelled,32497.18,USD
PO000140,SUP00071,2025-04-13,draft,3711.55,USD
PO000141,SUP00003,2024-07-05,closed,70444.18,USD
PO000142,SUP00072,2023-09-15,approved,48957.82,USD
PO000143,SUP00065,2024-02-21,closed,17298.45,USD
PO000144,SUP00022,2024-05-17,closed,50994.36,EUR
PO000145,SUP00058,2023-03-27,draft,55892.08,USD
PO000146,SUP00038,2023-12-09,draft,112037.44,USD
PO000147,SUP00077,2024-05-28,closed,45773.38,USD
PO000148,SUP00028,2026-04-13,closed,33937.03,USD
PO000149,SUP00069,2026-02-27,draft,10993.38,USD
PO000150,SUP00018,2026-02-13,cancelled,105423.95,USD
PO000151,SUP00065,2024-10-13,closed,113462.66,USD
PO000152,SUP00058,2024-07-13,approved,117966.88,USD
PO000153,SUP00059,2026-05-12,approved,109703.68,USD
PO000154,SUP00001,2026-05-31,closed,108198.04,USD
PO000155,SUP00053,2026-02-12,closed,84470.14,USD
PO000156,SUP00069,2023-06-16,closed,77979.4,USD
PO000157,SUP00004,2025-06-30,closed,42521.12,USD
PO000158,SUP00077,2025-01-03,closed,100737.71,USD
PO000159,SUP00002,2023-09-13,closed,112365.68,USD
PO000160,SUP00029,2023-02-10,closed,81746.38,USD
PO000161,SUP00025,2023-07-04,closed,75122.08,USD
PO000162,SUP00029,2024-04-24,cancelled,116083.76,USD
PO000163,SUP00064,2026-05-26,approved,23731.39,USD
PO000164,SUP00051,2023-08-16,closed,68399.99,USD
PO000165,SUP00071,2024-02-01,closed,67993.42,USD
PO000166,SUP00073,2023-12-26,draft,15607.51,USD
PO000167,SUP00034,2026-03-13,closed,105750.12,USD
PO000168,SUP00036,2024-01-28,closed,3018.32,GBP
PO000169,SUP00069,2026-06-12,approved,67323.89,USD
PO000170,SUP00055,2023-04-17,closed,38929.16,USD
PO000171,SUP00053,2024-07-15,approved,62315.86,USD
PO000172,SUP00067,2023-03-31,closed,27139.65,USD
PO000173,SUP00054,2025-12-26,closed,867.82,USD
PO000174,SUP00011,2026-03-17,closed,118834.19,USD
PO000175,SUP00055,2023-06-02,cancelled,23826.0,USD
PO000176,SUP00009,2023-07-18,draft,51975.89,USD
PO000177,SUP00043,2024-05-27,approved,56960.79,GBP
PO000178,SUP00007,2024-11-14,closed,28600.05,USD
PO000179,SUP00077,2026-06-22,closed,11706.57,USD
PO000180,SUP00016,2023-06-25,cancelled,110026.55,USD
PO000181,SUP00009,2023-09-19,draft,96335.86,USD
PO000182,SUP00079,2025-06-03,draft,81388.34,USD
PO000183,SUP00038,2025-02-20,closed,74171.91,USD
PO000184,SUP00077,2026-07-01,draft,46224.42,USD
PO000185,SUP00080,2026-06-22,approved,78197.84,USD
PO000186,SUP00004,2025-07-18,closed,70640.65,USD
PO000187,SUP00002,2026-05-03,closed,71248.16,USD
PO000188,SUP00074,2023-09-16,closed,30940.26,USD
PO000189,SUP00080,2025-06-29,approved,16736.31,USD
PO000190,SUP00017,2024-09-30,closed,61696.81,USD
PO000191,SUP00046,2024-09-29,closed,65051.96,USD
PO000192,SUP00061,2024-09-24,closed,35104.91,GBP
PO000193,SUP00067,2026-04-16,closed,17565.9,USD
PO000194,SUP00072,2023-04-22,closed,23650.0,USD
PO000195,SUP00026,2023-05-21,approved,80226.25,USD
PO000196,SUP00060,2026-05-13,closed,102278.04,USD
PO000197,SUP00043,2026-06-15,approved,39602.13,USD
PO000198,SUP00006,2025-10-12,approved,692.72,USD
PO000199,SUP00030,2025-08-13,closed,28872.53,USD
PO000200,SUP00043,2025-02-08,approved,22313.28,GBP
PO000201,SUP00047,2023-01-21,draft,3844.61,USD
PO000202,SUP00038,2025-06-20,approved,70385.95,USD
PO000203,SUP00006,2023-03-02,approved,34271.08,USD
PO000204,SUP00034,2023-12-23,approved,66651.97,USD
PO000205,SUP00003,2023-12-27,closed,109300.21,USD
PO000206,SUP00018,2025-02-15,closed,106230.13,USD
PO000207,SUP00027,2024-09-16,closed,44514.47,USD
PO000208,SUP00022,2025-12-15,cancelled,119723.97,EUR
PO000209,SUP00009,2023-08-31,approved,110917.62,USD
PO000210,SUP00025,2025-12-26,closed,45067.07,USD
PO000211,SUP00032,2023-04-05,closed,70582.27,EUR
PO000212,SUP00038,2023-11-01,approved,6627.76,USD
PO000213,SUP00017,2025-11-06,cancelled,106328.66,USD
PO000214,SUP00011,2025-08-21,closed,73882.65,USD
PO000215,SUP00050,2025-11-08,closed,62387.36,USD
PO000216,SUP00048,2025-12-12,closed,85949.07,USD
PO000217,SUP00035,2026-04-05,closed,110561.93,USD
PO000218,SUP00005,2024-02-29,approved,24559.31,EUR
PO000219,SUP00051,2024-03-23,approved,106672.89,USD
PO000220,SUP00048,2024-06-05,closed,16336.06,USD
PO000221,SUP00057,2025-11-28,closed,70179.48,USD
PO000222,SUP00080,2024-11-19,closed,56239.23,USD
PO000223,SUP00064,2024-10-11,approved,3210.0,USD
PO000224,SUP00034,2023-06-05,closed,10119.62,USD
PO000225,SUP00066,2026-01-24,closed,94358.33,EUR
PO000226,SUP00013,2023-08-31,draft,4834.2,USD
PO000227,SUP00026,2024-11-05,approved,89489.06,USD
PO000228,SUP00036,2024-01-26,closed,119759.99,GBP
PO000229,SUP00070,2024-06-18,draft,36112.03,USD
PO000230,SUP00052,2025-04-10,closed,90997.28,USD
PO000231,SUP00066,2023-11-02,closed,27502.52,USD
PO000232,SUP00027,2025-08-29,approved,70543.69,USD
PO000233,SUP00060,2025-08-02,approved,10533.63,USD
PO000234,SUP00055,2025-05-05,approved,54134.14,USD
PO000235,SUP00048,2023-10-12,closed,15619.39,EUR
PO000236,SUP00002,2025-10-20,closed,100157.29,USD
PO000237,SUP00054,2025-05-21,closed,48553.4,USD
PO000238,SUP00069,2024-09-05,approved,3032.97,USD
PO000239,SUP00018,2023-11-11,cancelled,119312.32,USD
PO000240,SUP00078,2026-05-29,closed,47058.59,USD
PO000241,SUP00051,2023-05-11,closed,22803.56,USD
PO000242,SUP00073,2025-07-13,closed,36731.29,USD
PO000243,SUP00071,2023-12-30,draft,82760.69,USD
PO000244,SUP00024,2024-02-12,draft,115568.6,USD
PO000245,SUP00030,2024-08-19,closed,8630.04,USD
PO000246,SUP00067,2023-01-23,approved,103199.95,USD
PO000247,SUP00021,2023-08-15,approved,50354.98,USD
PO000248,SUP00050,2024-02-27,approved,24879.82,USD
PO000249,SUP00061,2023-11-22,closed,112713.72,USD
PO000250,SUP00065,2025-07-28,approved,1141.34,USD
PO000251,SUP00009,2025-03-28,closed,29809.1,USD
PO000252,SUP00073,2025-10-02,closed,69241.9,USD
PO000253,SUP00037,2025-07-23,approved,101156.08,USD
PO000254,SUP00051,2026-06-09,closed,102018.81,USD
PO000255,SUP00023,2026-06-19,closed,55074.92,EUR
PO000256,SUP00024,2026-03-10,draft,83912.71,USD
PO000257,SUP00021,2024-07-14,closed,64644.07,USD
PO000258,SUP00009,2024-03-20,cancelled,49500.56,USD
PO000259,SUP00016,2025-01-25,draft,12850.64,USD
PO000260,SUP00042,2025-04-19,closed,30518.8,USD
PO000261,SUP00060,2023-02-24,draft,83414.66,USD
PO000262,SUP00049,2024-12-04,closed,102728.83,USD
PO000263,SUP00002,2024-05-28,approved,110077.15,USD
PO000264,SUP00060,2025-09-19,closed,10135.2,USD
PO000265,SUP00057,2023-10-15,closed,33677.24,USD
PO000266,SUP00003,2026-05-28,approved,35473.82,USD
PO000267,SUP00051,2023-12-11,draft,91689.79,USD
PO000268,SUP00020,2025-06-21,closed,26196.52,USD
PO000269,SUP00069,2024-03-18,closed,5968.78,USD
PO000270,SUP00067,2023-07-30,closed,37171.83,USD
PO000271,SUP00001,2023-04-10,closed,92111.93,EUR
PO000272,SUP00048,2024-05-03,approved,2170.6,USD
PO000273,SUP00002,2024-11-21,closed,81675.15,USD
PO000274,SUP00013,2023-12-10,closed,5520.5,USD
PO000275,SUP00042,2024-10-22,closed,22948.32,USD
PO000276,SUP00070,2025-03-20,cancelled,14716.27,USD
PO000277,SUP00046,2024-10-24,approved,48406.2,USD
PO000278,SUP00050,2024-03-11,closed,8155.45,USD
PO000279,SUP00080,2025-01-25,draft,106283.84,USD
PO000280,SUP00077,2025-10-20,cancelled,12442.18,USD
PO000281,SUP00073,2023-12-18,approved,11595.66,USD
PO000282,SUP00050,2023-09-30,approved,76333.58,EUR
PO000283,SUP00041,2025-09-14,draft,2363.44,EUR
PO000284,SUP00058,2025-02-22,closed,89082.22,USD
PO000285,SUP00002,2024-04-21,draft,91133.19,USD
PO000286,SUP00031,2025-05-27,closed,74467.01,USD
PO000287,SUP00048,2025-10-18,approved,18412.55,USD
PO000288,SUP00005,2024-05-02,cancelled,71869.5,EUR
PO000289,SUP00043,2023-10-02,approved,77321.35,USD
PO000290,SUP00067,2025-04-29,closed,34792.5,USD
PO000291,SUP00043,2024-12-02,approved,64832.58,EUR
PO000292,SUP00032,2024-03-31,closed,45932.94,USD
PO000293,SUP00057,2023-01-13,draft,59124.16,GBP
PO000294,SUP00007,2023-10-17,cancelled,15285.93,USD
PO000295,SUP00071,2024-02-23,approved,9610.2,USD
PO000296,SUP00040,2023-12-03,closed,29579.76,USD
PO000297,SUP00032,2024-09-12,approved,53930.48,USD
PO000298,SUP00035,2025-09-12,draft,116713.49,USD
PO000299,SUP00022,2025-08-22,closed,60758.78,USD
PO000300,SUP00020,2025-09-14,draft,45924.96,EUR
PO000301,SUP00039,2026-05-03,closed,66454.04,USD
PO000302,SUP00049,2025-08-07,approved,34166.28,USD
PO000303,SUP00062,2023-05-28,approved,85854.89,USD
PO000304,SUP00025,2023-01-09,draft,60208.8,USD
PO000305,SUP00063,2025-04-08,cancelled,112849.13,GBP
PO000306,SUP00048,2025-02-25,closed,77015.58,USD
PO000307,SUP00053,2023-03-21,cancelled,15156.18,EUR
PO000308,SUP00021,2024-02-02,closed,114862.35,USD
PO000309,SUP00045,2025-11-09,closed,76288.82,USD
PO000310,SUP00008,2025-02-28,cancelled,88345.79,USD
PO000311,SUP00005,2025-01-10,closed,81251.97,USD
PO000312,SUP00019,2024-06-19,closed,113325.76,USD
PO000313,SUP00032,2026-05-18,closed,79596.91,USD
PO000314,SUP00015,2023-07-09,closed,110046.72,USD
PO000315,SUP00076,2023-06-14,closed,22861.58,USD
PO000316,SUP00055,2024-06-01,closed,60202.46,USD
PO000317,SUP00049,2026-04-15,approved,49540.18,EUR
PO000318,SUP00012,2023-08-12,closed,93258.76,USD
PO000319,SUP00019,2024-07-04,closed,111619.52,USD
PO000320,SUP00040,2023-01-14,cancelled,98012.63,USD
PO000321,SUP00009,2025-05-05,closed,78628.91,USD
PO000322,SUP00022,2023-12-28,closed,84559.65,USD
PO000323,SUP00024,2025-10-26,cancelled,54216.63,USD
PO000324,SUP00024,2024-02-16,draft,22131.85,USD
PO000325,SUP00034,2025-04-17,closed,109578.33,USD
PO000326,SUP00022,2023-06-13,approved,45482.99,USD
PO000327,SUP00044,2023-03-02,closed,57478.18,USD
PO000328,SUP00013,2023-01-20,draft,90277.89,USD
PO000329,SUP00075,2023-03-27,draft,62799.56,USD
PO000330,SUP00078,2025-12-01,cancelled,91423.34,EUR
PO000331,SUP00061,2024-11-21,closed,40551.89,USD
PO000332,SUP00044,2024-10-07,closed,112933.68,USD
PO000333,SUP00049,2026-06-04,draft,42884.5,USD
PO000334,SUP00013,2023-01-07,closed,83872.42,USD
PO000335,SUP00018,2023-02-22,closed,104313.38,USD
PO000336,SUP00032,2025-01-24,closed,82420.64,EUR
PO000337,SUP00066,2025-04-26,closed,624.71,USD
PO000338,SUP00042,2023-02-04,closed,104843.78,GBP
PO000339,SUP00042,2025-06-28,approved,58273.2,USD
PO000340,SUP00011,2024-12-14,closed,111795.15,EUR
PO000341,SUP00013,2025-02-27,approved,23610.47,USD
PO000342,SUP00067,2026-03-17,closed,86070.71,USD
PO000343,SUP00064,2023-06-28,approved,80849.19,USD
PO000344,SUP00060,2023-12-11,closed,114617.38,USD
PO000345,SUP00070,2024-05-08,approved,20659.35,EUR
PO000346,SUP00012,2023-08-05,closed,85962.88,USD
PO000347,SUP00042,2025-02-24,closed,26640.03,USD
PO000348,SUP00061,2023-09-10,closed,110747.66,USD
PO000349,SUP00063,2023-07-05,closed,40102.93,USD
PO000350,SUP00074,2026-05-15,draft,41351.29,EUR
PO000351,SUP00049,2026-02-24,cancelled,52576.23,USD
PO000352,SUP00034,2023-08-25,approved,13588.06,USD
PO000353,SUP00076,2024-01-21,closed,14153.72,USD
PO000354,SUP00041,2025-02-17,closed,451.0,USD
PO000355,SUP00069,2024-01-24,closed,117586.98,USD
PO000356,SUP00047,2023-09-16,closed,72293.71,USD
PO000357,SUP00051,2023-01-19,closed,55407.18,USD
PO000358,SUP00038,2024-03-24,closed,54830.2,USD
PO000359,SUP00019,2023-03-12,closed,37239.75,GBP
PO000360,SUP00016,2024-07-14,cancelled,84856.04,USD
PO000361,SUP00028,2025-10-10,approved,115987.86,USD
PO000362,SUP00043,2023-11-09,closed,25470.92,USD
PO000363,SUP00029,2023-04-18,cancelled,93180.64,EUR
PO000364,SUP00051,2024-09-04,cancelled,79195.22,USD
PO000365,SUP00003,2026-01-27,closed,50836.89,USD
PO000366,SUP00045,2025-03-12,closed,63459.37,USD
PO000367,SUP00025,2026-01-27,closed,15925.36,USD
PO000368,SUP00075,2023-04-21,closed,85223.11,USD
PO000369,SUP00021,2026-03-28,approved,83590.67,USD
PO000370,SUP00019,2024-03-05,approved,89868.81,USD
PO000371,SUP00002,2025-01-11,closed,69187.93,USD
PO000372,SUP00019,2025-02-10,cancelled,51396.55,USD
PO000373,SUP00008,2023-07-16,closed,56996.62,EUR
PO000374,SUP00016,2025-11-21,closed,71308.74,GBP
PO000375,SUP00052,2024-05-16,draft,29092.44,USD
PO000376,SUP00077,2023-12-20,closed,45200.75,USD
PO000377,SUP00012,2025-08-07,closed,78124.73,USD
PO000378,SUP00057,2025-01-22,draft,14216.16,USD
PO000379,SUP00066,2024-04-05,draft,68864.58,USD
PO000380,SUP00036,2023-07-13,closed,21936.32,USD
PO000381,SUP00056,2024-09-03,closed,12158.09,USD
PO000382,SUP00069,2024-01-14,closed,84163.84,USD
PO000383,SUP00069,2025-12-21,closed,62388.41,USD
PO000384,SUP00016,2024-02-29,cancelled,107737.88,USD
PO000385,SUP00077,2024-01-04,draft,53806.14,USD
PO000386,SUP00006,2023-09-21,closed,78403.7,USD
PO000387,SUP00033,2023-03-13,draft,15184.88,USD
PO000388,SUP00070,2023-12-18,closed,113441.11,USD
PO000389,SUP00039,2023-04-05,cancelled,62453.31,USD
PO000390,SUP00069,2025-06-30,approved,58980.53,USD
PO000391,SUP00046,2026-05-26,closed,25378.28,USD
PO000392,SUP00006,2024-04-30,draft,17214.66,EUR
PO000393,SUP00028,2023-10-02,closed,26120.79,USD
PO000394,SUP00017,2026-06-28,closed,66094.37,USD
PO000395,SUP00021,2025-03-30,closed,113382.67,USD
PO000396,SUP00019,2026-01-02,approved,75640.79,USD
PO000397,SUP00025,2025-02-01,closed,77820.59,USD
PO000398,SUP00021,2025-05-09,closed,38134.15,USD
PO000399,SUP00049,2023-02-23,cancelled,29887.85,USD
PO000400,SUP00069,2023-08-14,closed,48962.06,USD
PO000401,SUP00012,2025-01-13,cancelled,93424.0,USD
PO000402,SUP00029,2024-07-14,draft,45414.43,GBP
PO000403,SUP00049,2023-08-04,closed,15039.54,USD
PO000404,SUP00040,2026-04-20,closed,58881.83,USD
PO000405,SUP00074,2024-07-31,closed,72994.17,EUR
PO000406,SUP00022,2024-10-13,cancelled,46900.21,USD
PO000407,SUP00069,2026-02-03,closed,101993.19,USD
PO000408,SUP00017,2024-06-14,draft,61749.46,USD
PO000409,SUP00017,2023-10-20,closed,88316.83,USD
PO000410,SUP00048,2024-05-25,closed,50334.69,USD
PO000411,SUP00057,2024-12-25,closed,60391.95,USD
PO000412,SUP00055,2025-12-02,cancelled,105796.18,USD
PO000413,SUP00040,2023-06-28,cancelled,48930.15,USD
PO000414,SUP00012,2023-06-12,draft,28994.4,USD
PO000415,SUP00074,2023-04-28,draft,34480.64,EUR
PO000416,SUP00002,2025-05-18,closed,111909.86,USD
PO000417,SUP00064,2025-11-20,closed,81293.71,USD
PO000418,SUP00016,2025-04-10,draft,23024.53,USD
PO000419,SUP00001,2025-05-20,closed,90022.74,USD
PO000420,SUP00068,2026-06-01,draft,53976.08,USD
PO000421,SUP00068,2024-04-05,approved,44204.35,USD
PO000422,SUP00046,2023-04-15,closed,45646.6,USD
PO000423,SUP00015,2024-11-23,cancelled,30159.39,USD
PO000424,SUP00016,2024-08-17,approved,35402.02,USD
PO000425,SUP00073,2025-03-17,approved,36752.17,EUR
PO000426,SUP00066,2023-03-14,cancelled,107126.15,USD
PO000427,SUP00008,2024-12-29,draft,55377.38,USD
PO000428,SUP00014,2023-01-11,approved,86761.42,USD
PO000429,SUP00002,2023-07-27,closed,23905.95,USD
PO000430,SUP00020,2025-04-21,approved,58617.61,USD
PO000431,SUP00033,2024-04-08,closed,45073.56,USD
PO000432,SUP00024,2026-01-03,closed,13266.23,USD
PO000433,SUP00057,2023-11-28,approved,89714.16,USD
PO000434,SUP00026,2023-08-15,approved,5070.69,USD
PO000435,SUP00043,2023-03-06,approved,24079.28,USD
PO000436,SUP00035,2023-09-01,closed,66127.31,USD
PO000437,SUP00017,2024-10-27,closed,93695.42,USD
PO000438,SUP00050,2023-09-27,approved,13168.58,USD
PO000439,SUP00020,2024-12-05,closed,92144.35,USD
PO000440,SUP00044,2025-05-29,cancelled,88557.43,USD
PO000441,SUP00038,2024-07-31,closed,91367.76,USD
PO000442,SUP00020,2025-11-13,approved,33916.38,USD
PO000443,SUP00034,2024-05-21,closed,51641.78,USD
PO000444,SUP00014,2025-10-25,closed,22843.11,EUR
PO000445,SUP00020,2024-04-14,approved,48303.66,USD
PO000446,SUP00025,2023-10-27,closed,74071.97,USD
PO000447,SUP00007,2025-02-17,closed,36946.9,USD
PO000448,SUP00030,2024-03-30,approved,57633.63,USD
PO000449,SUP00007,2024-09-15,approved,43788.24,EUR
PO000450,SUP00054,2024-05-20,approved,5944.88,USD
PO000451,SUP00007,2024-10-20,approved,56778.97,EUR
PO000452,SUP00013,2025-06-01,approved,113812.3,USD
PO000453,SUP00039,2023-08-17,draft,1885.97,USD
PO000454,SUP00017,2024-11-09,closed,97251.72,USD
PO000455,SUP00076,2025-12-19,closed,28780.7,USD
PO000456,SUP00075,2025-02-25,draft,12987.27,USD
PO000457,SUP00078,2023-09-04,draft,116207.54,EUR
PO000458,SUP00025,2024-01-31,closed,111078.7,USD
PO000459,SUP00070,2026-06-21,approved,87110.74,GBP
PO000460,SUP00026,2025-12-28,closed,5496.38,USD
PO000461,SUP00071,2024-06-01,closed,91182.78,USD
PO000462,SUP00072,2024-12-12,closed,53955.75,USD
PO000463,SUP00056,2023-05-19,closed,62970.59,GBP
PO000464,SUP00003,2023-12-08,closed,83680.57,USD
PO000465,SUP00006,2026-03-05,draft,116703.76,USD
PO000466,SUP00051,2025-10-10,closed,104463.12,GBP
PO000467,SUP00022,2025-06-15,closed,46252.01,USD
PO000468,SUP00052,2026-05-28,approved,22291.94,USD
PO000469,SUP00028,2026-04-27,closed,105528.81,USD
PO000470,SUP00059,2025-10-28,closed,63127.52,USD
PO000471,SUP00029,2024-08-29,closed,66370.07,USD
PO000472,SUP00006,2025-12-28,approved,4931.11,USD
PO000473,SUP00036,2023-09-30,approved,94926.9,USD
PO000474,SUP00032,2024-03-06,closed,417.65,USD
PO000475,SUP00078,2025-01-25,approved,113584.73,EUR
