opportunity_id,account_id,stage_name,amount,close_date,created_date,last_modified_date
006000150,001000129,Closed Won,690788.11,2023-10-18,2023-07-25,2023-09-29
006000151,001000054,Negotiation,748601.54,2026-08-14,2026-01-19,2026-04-09
006000152,001000045,Proposal,402179.66,2026-01-22,2025-08-25,2025-12-26
006000153,001000050,Closed Lost,212859.76,2026-07-12,2026-03-04,2026-05-19
006000154,001000198,Qualification,159421.96,2026-12-15,2026-06-21,2026-10-21
006000155,001000090,Negotiation,701191.61,2026-09-02,2026-03-24,2026-04-24
006000156,001000147,Closed Won,287872.17,2026-04-04,2025-09-25,2025-11-01
006000157,001000075,Prospecting,716708.72,2026-07-22,2026-01-11,2026-05-04
006000158,001000168,Qualification,361914.05,2024-10-15,2024-05-15,2024-10-05
006000159,001000179,Qualification,86373.8,2026-01-11,2025-08-25,2025-09-06
006000160,001000172,Closed Lost,173125.38,2025-04-29,2025-03-19,2025-03-25
006000161,001000106,Proposal,356940.91,2025-01-25,2025-01-08,2025-01-25
006000162,001000041,Proposal,701598.91,2027-01-12,2026-04-28,2026-08-08
006000163,001000194,Closed Lost,244269.94,2026-07-14,2026-05-30,2026-06-04
006000164,001000167,Negotiation,403688.45,2025-05-30,2025-02-15,2025-04-09
006000165,001000046,Closed Lost,32073.19,2025-03-29,2024-07-04,2024-10-07
006000166,001000192,Closed Lost,694899.57,2024-06-26,2024-06-07,2024-06-16
006000167,001000146,Negotiation,696698.86,2025-03-31,2024-10-22,2025-02-15
006000168,001000165,Negotiation,372964.75,2027-02-19,2026-06-10,2026-08-18
006000169,001000050,Closed Won,251359.65,2026-10-18,2026-05-25,2026-07-11
006000170,001000004,Closed Won,594121.91,2024-12-04,2024-08-22,2024-11-08
006000171,001000164,Closed Won,621107.42,2026-07-31,2026-01-30,2026-02-21
006000172,001000103,Closed Won,142661.99,2025-07-03,2024-10-17,2025-03-31
006000173,001000064,Prospecting,290762.92,2025-09-16,2025-04-18,2025-07-11
006000174,001000078,Negotiation,431793.62,2026-08-20,2026-02-02,2026-07-29
006000175,001000061,Prospecting,93077.51,2026-06-08,2026-03-04,2026-04-24
006000176,001000176,Negotiation,671863.19,2026-11-29,2026-06-08,2026-07-08
006000177,001000164,Closed Lost,224803.01,2026-07-28,2026-03-22,2026-05-17
006000178,001000035,Proposal,343959.11,2026-09-10,2026-01-26,2026-07-24
006000179,001000141,Closed Lost,569226.14,2026-02-03,2025-09-15,2025-10-05
006000180,001000135,Proposal,529305.76,2024-08-29,2024-06-18,2024-06-25
006000181,001000141,Closed Lost,155606.8,2025-10-14,2025-07-07,2025-08-17
006000182,001000134,Proposal,511819.95,2027-01-11,2026-04-21,2026-06-06
006000183,001000131,Proposal,46448.68,2026-09-07,2026-01-23,2026-05-19
006000184,001000145,Prospecting,349471.84,2025-01-22,2024-12-27,2025-01-08
006000185,001000066,Closed Won,560624.34,2026-04-18,2026-02-25,2026-02-27
006000186,001000109,Proposal,52501.13,2025-12-22,2025-11-02,2025-12-02
006000187,001000009,Qualification,139086.09,2026-07-12,2025-11-24,2026-02-27
006000188,001000098,Proposal,688250.73,2024-09-19,2024-02-25,2024-03-16
006000189,001000175,Closed Lost,656542.52,2023-06-23,2022-12-12,2023-01-11
006000190,001000046,Closed Lost,297828.68,2023-05-07,2022-12-29,2022-12-29
006000191,001000194,Prospecting,227280.43,2027-01-21,2026-06-03,2026-10-17
006000192,001000098,Closed Won,189396.47,2024-03-25,2023-12-22,2024-01-26
006000193,001000049,Closed Lost,545142.84,2025-12-05,2025-11-04,2025-11-30
006000194,001000158,Closed Won,663398.68,2022-10-03,2022-05-18,2022-07-09
006000195,001000018,Prospecting,30014.33,2023-11-20,2023-07-03,2023-07-14
006000196,001000103,Proposal,407121.06,2024-10-17,2024-07-23,2024-09-25
006000197,001000075,Qualification,687715.79,2026-11-12,2026-05-18,2026-10-12
006000198,001000154,Closed Won,614694.95,2025-11-26,2025-06-10,2025-07-16
006000199,001000170,Negotiation,313102.35,2026-03-26,2026-02-08,2026-03-15
006000200,001000152,Closed Won,684125.36,2026-09-09,2025-12-15,2026-01-08
006000201,001000089,Closed Lost,505150.18,2026-07-08,2026-01-11,2026-07-08
006000202,001000107,Proposal,228416.93,2026-08-10,2025-11-26,2026-03-29
006000203,001000058,Proposal,532144.71,2026-11-15,2026-03-08,2026-10-28
006000204,001000015,Negotiation,726000.71,2026-03-10,2025-12-17,2026-02-04
006000205,001000063,Qualification,251045.93,2025-12-27,2025-04-26,2025-11-28
006000206,001000095,Prospecting,544815.61,2026-02-19,2026-01-09,2026-01-26
006000207,001000097,Closed Won,454176.92,2024-11-11,2024-07-23,2024-11-02
006000208,001000195,Negotiation,505230.64,2027-01-06,2026-04-21,2026-08-05
006000209,001000086,Proposal,682200.65,2026-02-18,2025-10-29,2026-01-31
006000210,001000031,Closed Won,566976.4,2025-11-27,2025-07-31,2025-09-19
006000211,001000062,Negotiation,582757.84,2026-11-01,2026-02-21,2026-07-07
006000212,001000167,Proposal,199863.41,2027-03-13,2026-06-17,2027-02-10
006000213,001000026,Closed Won,543198.11,2026-11-12,2026-05-18,2026-07-09
006000214,001000095,Proposal,39058.01,2026-11-06,2026-07-01,2026-08-07
006000215,001000005,Qualification,701394.9,2026-09-29,2026-02-13,2026-04-29
006000216,001000040,Qualification,176363.88,2026-07-29,2026-03-11,2026-07-16
006000217,001000141,Closed Won,515210.73,2026-07-17,2025-10-25,2026-07-03
006000218,001000118,Qualification,597256.76,2024-07-23,2024-04-28,2024-07-06
006000219,001000126,Qualification,667576.57,2026-08-13,2026-06-29,2026-08-01
006000220,001000009,Closed Won,60376.16,2025-10-28,2025-10-10,2025-10-23
006000221,001000036,Closed Won,177417.88,2026-07-08,2026-04-07,2026-04-08
006000222,001000056,Negotiation,283034.52,2026-10-06,2026-01-17,2026-09-23
006000223,001000005,Prospecting,415974.45,2023-01-01,2022-12-09,2022-12-25
006000224,001000185,Qualification,733222.11,2023-05-04,2022-09-11,2023-04-05
006000225,001000046,Prospecting,76753.85,2023-06-29,2023-02-11,2023-04-01
006000226,001000159,Negotiation,612334.72,2026-09-13,2026-02-07,2026-02-27
006000227,001000096,Closed Lost,346953.32,2024-11-22,2024-07-15,2024-09-29
006000228,001000176,Closed Won,65059.6,2026-07-28,2026-06-27,2026-07-02
006000229,001000104,Proposal,416762.57,2024-05-02,2024-04-13,2024-04-18
006000230,001000022,Proposal,328262.69,2025-09-04,2025-07-03,2025-07-08
006000231,001000059,Qualification,651747.08,2026-05-27,2025-09-11,2026-01-27
006000232,001000012,Closed Lost,514899.41,2026-05-15,2026-04-14,2026-04-25
006000233,001000081,Prospecting,159332.8,2026-03-14,2025-08-08,2025-08-27
006000234,001000077,Qualification,184151.78,2026-05-15,2025-11-12,2026-02-18
006000235,001000194,Closed Won,593921.07,2026-07-30,2026-06-05,2026-07-07
006000236,001000191,Closed Lost,45003.84,2025-08-20,2025-04-09,2025-04-28
006000237,001000088,Negotiation,462329.6,2026-12-03,2026-04-29,2026-11-13
006000238,001000084,Prospecting,208628.64,2025-09-24,2025-01-01,2025-04-27
006000239,001000092,Negotiation,284693.11,2026-12-18,2026-05-23,2026-06-13
006000240,001000198,Negotiation,599551.1,2026-01-16,2025-11-20,2025-12-07
006000241,001000040,Proposal,588998.26,2025-08-11,2025-01-09,2025-03-31
006000242,001000093,Prospecting,8870.44,2024-10-28,2024-02-29,2024-05-31
006000243,001000195,Qualification,103717.72,2026-12-08,2026-04-17,2026-08-09
006000244,001000143,Negotiation,308992.91,2023-12-05,2023-10-06,2023-10-28
006000245,001000142,Prospecting,450542.63,2026-09-03,2026-02-03,2026-02-06
006000246,001000075,Proposal,585480.98,2026-11-11,2026-06-25,2026-11-05
006000247,001000044,Closed Won,131278.8,2025-07-27,2025-02-08,2025-04-17
006000248,001000127,Prospecting,129569.51,2026-10-06,2026-02-18,2026-05-05
006000249,001000124,Closed Won,274038.06,2026-11-24,2026-03-01,2026-06-09
006000250,001000118,Prospecting,231970.21,2026-02-06,2025-08-05,2026-01-10
006000251,001000098,Closed Won,250508.58,2024-07-21,2023-11-29,2024-06-24
006000252,001000167,Closed Lost,106412.73,2026-03-29,2025-12-02,2026-02-01
006000253,001000081,Qualification,301688.49,2026-04-19,2025-11-06,2026-04-17
006000254,001000126,Closed Lost,587570.91,2026-02-15,2025-07-23,2025-10-02
006000255,001000101,Proposal,699390.03,2026-04-28,2026-01-11,2026-04-08
006000256,001000197,Negotiation,714988.44,2026-10-02,2026-06-02,2026-07-28
006000257,001000075,Closed Won,56523.21,2026-12-31,2026-04-05,2026-06-15
006000258,001000163,Proposal,193247.86,2025-09-17,2025-01-29,2025-08-19
006000259,001000097,Prospecting,743071.96,2026-04-20,2025-09-12,2026-01-26
006000260,001000130,Closed Lost,652877.12,2026-02-04,2026-01-02,2026-01-25
006000261,001000180,Closed Won,404994.96,2026-03-06,2026-01-07,2026-01-13
006000262,001000197,Qualification,500196.95,2026-02-08,2026-01-02,2026-02-07
006000263,001000166,Closed Won,302715.22,2026-12-11,2026-04-20,2026-05-17
006000264,001000003,Prospecting,170390.8,2026-05-17,2026-01-09,2026-05-03
006000265,001000096,Proposal,580394.96,2025-10-03,2025-07-03,2025-08-16
006000266,001000007,Proposal,225097.0,2025-01-06,2024-10-24,2024-11-11
006000267,001000090,Proposal,344222.81,2026-11-23,2026-03-06,2026-08-31
006000268,001000122,Prospecting,542885.49,2025-01-29,2024-08-04,2024-08-21
006000269,001000077,Prospecting,534530.35,2024-05-01,2023-10-24,2024-04-06
006000270,001000028,Closed Won,127443.8,2026-08-20,2026-05-08,2026-07-17
006000271,001000041,Proposal,322645.19,2026-09-01,2026-04-21,2026-08-02
006000272,001000162,Qualification,482156.76,2026-11-30,2026-04-27,2026-05-04
006000273,001000189,Negotiation,152006.7,2027-01-10,2026-05-21,2026-08-28
006000274,001000002,Closed Won,158309.44,2026-07-07,2026-05-21,2026-06-26
006000275,001000027,Closed Won,404982.31,2025-11-24,2025-05-27,2025-07-16
006000276,001000118,Prospecting,504672.56,2026-08-07,2026-02-13,2026-07-15
006000277,001000100,Negotiation,442318.51,2026-01-05,2025-06-24,2025-10-19
006000278,001000159,Qualification,506823.7,2026-12-07,2026-06-23,2026-11-27
006000279,001000152,Prospecting,104791.09,2025-06-18,2025-02-01,2025-04-20
006000280,001000030,Qualification,521610.22,2026-12-30,2026-05-31,2026-09-15
006000281,001000153,Prospecting,290863.92,2025-01-16,2024-04-27,2024-07-24
006000282,001000143,Qualification,220181.91,2025-02-23,2024-08-31,2024-12-24
006000283,001000159,Prospecting,272484.18,2026-08-23,2025-12-03,2026-02-10
006000284,001000050,Closed Won,723052.67,2027-03-13,2026-06-18,2027-01-13
006000285,001000176,Proposal,534056.07,2027-01-25,2026-05-05,2026-07-29
006000286,001000022,Negotiation,597931.26,2025-05-01,2024-11-18,2024-11-26
006000287,001000071,Qualification,220059.38,2027-02-25,2026-06-21,2026-11-12
006000288,001000191,Closed Won,374008.44,2025-09-04,2025-06-24,2025-07-08
006000289,001000069,Closed Won,618345.69,2025-09-15,2025-08-10,2025-09-07
006000290,001000140,Qualification,321740.24,2025-01-10,2024-07-27,2024-08-04
006000291,001000116,Qualification,647338.72,2025-06-23,2024-10-27,2025-06-05
006000292,001000031,Closed Won,181524.81,2026-07-11,2025-11-19,2025-12-31
006000293,001000158,Prospecting,158931.64,2023-07-28,2023-06-13,2023-07-19
006000294,001000090,Negotiation,449658.98,2026-08-24,2026-02-25,2026-08-24
006000295,001000075,Qualification,204170.58,2026-07-04,2026-05-02,2026-05-19
006000296,001000193,Closed Won,689482.69,2025-10-21,2025-08-03,2025-08-19
006000297,001000064,Prospecting,244962.05,2025-04-30,2024-09-26,2025-01-29
006000298,001000037,Negotiation,205194.28,2026-02-07,2025-07-15,2025-11-07
006000299,001000020,Negotiation,660693.19,2023-06-26,2022-11-17,2023-03-28
006000300,001000192,Qualification,702570.4,2026-01-14,2025-05-12,2026-01-10
006000301,001000125,Proposal,6842.45,2024-06-11,2023-10-06,2024-03-16
006000302,001000171,Closed Won,638329.15,2027-01-08,2026-06-04,2026-07-29
006000303,001000110,Closed Won,373562.64,2025-09-07,2025-03-31,2025-06-25
006000304,001000141,Negotiation,426775.87,2026-12-22,2026-06-15,2026-12-06
006000305,001000196,Prospecting,79183.18,2027-02-27,2026-06-22,2026-06-26
006000306,001000032,Closed Lost,122697.72,2025-03-20,2025-03-05,2025-03-18
006000307,001000052,Closed Lost,682508.37,2026-11-08,2026-05-23,2026-07-02
006000308,001000071,Prospecting,273524.36,2026-11-29,2026-05-08,2026-10-25
006000309,001000167,Qualification,300274.47,2026-03-30,2025-11-16,2026-03-05
006000310,001000168,Prospecting,75911.84,2025-02-10,2024-05-27,2024-07-05
006000311,001000034,Negotiation,391985.97,2024-12-11,2024-11-22,2024-11-22
006000312,001000179,Proposal,94842.37,2026-05-21,2026-02-28,2026-04-30
006000313,001000019,Qualification,71551.66,2023-01-08,2022-11-02,2022-12-12
006000314,001000095,Closed Won,107161.32,2026-08-30,2026-06-08,2026-08-29
006000315,001000174,Prospecting,400228.67,2026-01-24,2025-10-17,2025-12-12
006000316,001000090,Closed Won,472919.63,2026-10-03,2026-02-20,2026-07-27
006000317,001000176,Proposal,166847.29,2026-06-16,2026-03-22,2026-04-06
006000318,001000151,Closed Won,266894.05,2026-08-05,2026-02-10,2026-03-17
006000319,001000064,Qualification,67765.29,2026-01-12,2025-08-05,2025-08-11
006000320,001000169,Closed Won,158057.06,2026-04-23,2026-01-02,2026-04-07
006000321,001000101,Qualification,45654.0,2026-10-26,2026-01-31,2026-08-16
006000322,001000029,Qualification,480371.34,2023-05-20,2023-04-29,2023-05-10
006000323,001000082,Prospecting,646306.43,2027-01-06,2026-05-21,2026-08-22
006000324,001000140,Closed Won,573230.82,2023-08-28,2023-08-05,2023-08-23
006000325,001000018,Prospecting,165728.49,2024-03-01,2023-07-27,2023-12-03
006000326,001000074,Negotiation,378281.48,2026-08-31,2026-01-12,2026-07-10
006000327,001000103,Prospecting,404740.79,2026-05-20,2026-02-16,2026-03-23
006000328,001000022,Proposal,385922.0,2025-01-16,2024-10-14,2024-12-21
006000329,001000084,Proposal,477549.21,2026-03-18,2026-01-29,2026-02-17
006000330,001000179,Proposal,715303.84,2025-10-07,2025-08-24,2025-09-08
006000331,001000023,Closed Lost,91410.0,2026-07-31,2026-06-18,2026-07-07
006000332,001000171,Closed Won,556790.34,2025-07-14,2025-06-23,2025-06-27
006000333,001000180,Prospecting,374827.63,2024-10-15,2024-05-21,2024-07-02
006000334,001000096,Prospecting,586937.37,2024-10-24,2024-08-10,2024-08-13
006000335,001000086,Closed Won,207625.54,2026-01-10,2025-08-14,2026-01-08
006000336,001000161,Prospecting,344122.34,2025-05-25,2025-04-12,2025-05-13
006000337,001000146,Qualification,122195.94,2023-09-16,2023-07-04,2023-08-02
006000338,001000190,Negotiation,37808.24,2026-01-09,2025-08-22,2025-09-02
006000339,001000121,Proposal,690568.78,2026-07-27,2026-06-24,2026-07-20
006000340,001000058,Proposal,315111.17,2026-06-06,2025-12-10,2026-02-17
006000341,001000020,Negotiation,93953.69,2026-03-30,2026-02-17,2026-02-28
006000342,001000058,Closed Won,736153.33,2025-03-08,2025-01-17,2025-02-15
006000343,001000073,Closed Won,236469.84,2026-02-22,2025-06-19,2025-06-21
006000344,001000095,Qualification,425036.02,2026-06-26,2026-02-07,2026-06-05
006000345,001000095,Negotiation,372553.7,2026-09-30,2026-06-07,2026-09-08
006000346,001000140,Closed Won,187619.52,2023-11-01,2023-03-22,2023-03-28
006000347,001000060,Negotiation,478776.67,2026-11-02,2026-04-30,2026-04-30
006000348,001000195,Closed Won,637509.46,2026-12-15,2026-06-26,2026-07-22
006000349,001000053,Negotiation,182434.86,2026-01-28,2025-12-14,2025-12-23
006000350,001000183,Qualification,37705.7,2025-09-29,2025-02-15,2025-08-13
