level_code,department,position,period_date,planned_fte
L12,Human Resources,Technician,2025-11-01,1.2
L07,Finance,Coordinator,2026-03-01,0.6
L04,Supply Chain,Specialist,2025-05-01,10.3
L09,Supply Chain,Specialist,2025-01-01,1.8
L03,Quality Assurance,Engineer,2025-02-01,10.8
L12,Facilities,Senior Manager,2025-10-01,6.3
L05,Quality Assurance,Coordinator,2025-09-01,9.4
L09,Regulatory Affairs,Specialist,2025-07-01,5.4
L08,Facilities,Lead,2026-01-01,0.8
L09,Quality Assurance,Senior Manager,2026-01-01,6.2
L12,Facilities,Analyst,2025-07-01,4.9
L06,Facilities,Technician,2025-10-01,10.7
L10,Quality Assurance,Engineer,2026-06-01,11.8
L07,Sales,Lead,2025-02-01,1.8
L04,Quality Assurance,Technician,2025-12-01,9.3
L02,Customer Service,Specialist,2025-12-01,1.1
L11,Manufacturing,Analyst,2025-04-01,10.8
L05,Supply Chain,Analyst,2026-04-01,4.5
L09,Human Resources,Engineer,2026-06-01,10.6
L04,IT,Senior Manager,2025-02-01,3.8
L11,R&D,Engineer,2025-10-01,1.2
L04,R&D,Director,2026-01-01,4.9
L09,Marketing,Analyst,2025-07-01,10.1
L04,IT,Analyst,2025-09-01,6.4
L04,Finance,Technician,2026-03-01,4.2
L09,Manufacturing,Specialist,2025-02-01,7.7
L01,R&D,Coordinator,2026-05-01,11.2
L07,Sales,Associate,2025-04-01,6.1
L08,IT,Technician,2025-02-01,1.5
L10,Manufacturing,Manager,2026-03-01,9.6
L11,R&D,Coordinator,2026-05-01,8.5
L11,Human Resources,Specialist,2026-04-01,8.6
L07,R&D,Analyst,2025-12-01,6.4
L07,Supply Chain,Senior Manager,2026-02-01,1.8
L10,Customer Service,Associate,2026-01-01,5.5
L10,Human Resources,Senior Manager,2025-07-01,8.1
L03,Supply Chain,Analyst,2026-04-01,10.5
L12,Marketing,Engineer,2025-11-01,11.7
L09,Regulatory Affairs,Director,2025-07-01,3.4
L11,IT,Analyst,2025-12-01,5.4
L08,Human Resources,Manager,2026-06-01,4.8
L06,Regulatory Affairs,Specialist,2026-05-01,2.4
L03,Supply Chain,Coordinator,2025-05-01,1.6
L12,Finance,Director,2026-06-01,1.0
L11,Marketing,Senior Manager,2025-09-01,11.2
L07,IT,Associate,2025-07-01,0.5
L04,Manufacturing,Manager,2026-05-01,4.4
L03,Finance,Manager,2026-04-01,9.2
L07,Customer Service,Senior Manager,2025-08-01,3.4
L02,Facilities,Director,2025-02-01,2.4
L03,IT,Director,2025-10-01,5.4
L04,Manufacturing,Senior Manager,2026-03-01,9.9
L01,IT,Lead,2026-04-01,1.9
L12,Manufacturing,Associate,2025-08-01,6.9
L12,Quality Assurance,Associate,2026-04-01,5.9
L12,R&D,Analyst,2026-05-01,3.9
L06,Quality Assurance,Associate,2026-05-01,11.1
L04,Manufacturing,Lead,2025-02-01,0.6
L02,Quality Assurance,Analyst,2025-02-01,10.0
L12,Sales,Manager,2025-07-01,3.9
L05,Finance,Specialist,2025-02-01,4.5
L11,Finance,Associate,2026-04-01,1.6
L10,Human Resources,Coordinator,2025-04-01,8.3
L10,Facilities,Associate,2025-04-01,4.8
L12,Customer Service,Coordinator,2025-12-01,9.4
L07,Finance,Coordinator,2025-10-01,1.0
L10,Human Resources,Coordinator,2026-05-01,10.3
L04,Sales,Technician,2025-01-01,0.7
L12,Marketing,Manager,2025-06-01,11.3
L05,Quality Assurance,Coordinator,2025-12-01,2.8
L08,Customer Service,Specialist,2025-06-01,2.0
L02,Customer Service,Analyst,2025-09-01,3.3
L10,Human Resources,Engineer,2026-03-01,0.7
L12,Sales,Associate,2025-08-01,5.3
L02,Marketing,Associate,2025-04-01,1.5
L06,Manufacturing,Analyst,2025-02-01,1.3
L12,Quality Assurance,Coordinator,2025-01-01,0.9
L01,Quality Assurance,Coordinator,2025-12-01,6.9
L12,Regulatory Affairs,Technician,2026-03-01,11.0
L10,Finance,Senior Manager,2025-07-01,3.0
L05,IT,Senior Manager,2025-07-01,4.6
L02,Customer Service,Manager,2025-04-01,3.8
L07,Finance,Lead,2025-03-01,9.9
L07,Regulatory Affairs,Senior Manager,2026-02-01,11.8
L07,Sales,Specialist,2025-05-01,0.8
L04,R&D,Associate,2025-05-01,9.9
L07,Supply Chain,Director,2025-05-01,9.5
L03,Sales,Coordinator,2026-06-01,4.3
L10,Quality Assurance,Associate,2025-05-01,3.8
L01,Manufacturing,Manager,2025-01-01,6.8
L11,Manufacturing,Analyst,2025-10-01,8.2
L07,Manufacturing,Director,2025-03-01,7.3
L09,Marketing,Technician,2025-07-01,10.0
L08,R&D,Coordinator,2025-07-01,8.9
L11,Human Resources,Specialist,2025-08-01,4.2
L07,Facilities,Specialist,2026-01-01,7.4
L04,Manufacturing,Analyst,2025-02-01,1.2
L01,Customer Service,Engineer,2026-05-01,9.9
L10,Regulatory Affairs,Analyst,2026-06-01,5.6
L02,Human Resources,Engineer,2025-10-01,10.3
L09,Manufacturing,Manager,2026-05-01,7.9
L04,Marketing,Technician,2025-03-01,4.4
L10,Quality Assurance,Lead,2025-02-01,7.6
L04,Manufacturing,Technician,2025-08-01,7.8
L07,Supply Chain,Analyst,2025-08-01,9.4
L07,Quality Assurance,Senior Manager,2025-01-01,6.4
L02,Quality Assurance,Manager,2026-02-01,6.5
L06,Customer Service,Technician,2026-03-01,10.8
L05,Finance,Engineer,2025-12-01,11.0
L04,R&D,Analyst,2025-02-01,11.8
L11,IT,Specialist,2025-08-01,0.6
L10,Supply Chain,Associate,2025-07-01,7.5
L10,IT,Technician,2025-05-01,1.6
L10,R&D,Technician,2025-05-01,8.2
L10,Regulatory Affairs,Associate,2026-02-01,8.9
L06,Facilities,Engineer,2025-04-01,5.2
L08,Supply Chain,Associate,2025-04-01,6.4
L08,Supply Chain,Manager,2026-05-01,6.7
L04,Supply Chain,Specialist,2026-02-01,6.8
L11,Facilities,Director,2025-01-01,1.5
L11,Supply Chain,Manager,2026-03-01,11.1
L03,Customer Service,Manager,2025-06-01,5.4
L07,Finance,Senior Manager,2026-05-01,0.6
L12,Human Resources,Specialist,2026-03-01,7.9
L02,Supply Chain,Director,2025-06-01,2.7
L11,Customer Service,Senior Manager,2025-01-01,5.8
L10,Customer Service,Specialist,2025-11-01,7.0
L02,Quality Assurance,Director,2025-11-01,7.7
L08,Finance,Manager,2026-02-01,4.2
L10,Finance,Coordinator,2025-10-01,0.8
L04,IT,Director,2026-06-01,0.8
L01,R&D,Technician,2025-04-01,9.4
L02,Supply Chain,Director,2026-04-01,6.8
L04,Customer Service,Analyst,2025-05-01,7.3
L06,Supply Chain,Director,2025-03-01,6.6
L08,R&D,Analyst,2025-10-01,6.5
L01,Manufacturing,Director,2025-02-01,0.6
L10,Quality Assurance,Technician,2025-09-01,7.3
L11,Quality Assurance,Senior Manager,2026-03-01,7.0
L08,Marketing,Associate,2025-02-01,7.7
L11,Manufacturing,Manager,2025-07-01,0.7
L02,Human Resources,Manager,2025-11-01,7.8
L02,Facilities,Senior Manager,2026-01-01,10.1
L01,Finance,Technician,2025-06-01,7.1
L01,Supply Chain,Lead,2025-12-01,2.2
L03,Quality Assurance,Specialist,2025-07-01,5.2
L04,R&D,Senior Manager,2025-01-01,4.9
L01,Manufacturing,Associate,2025-07-01,0.7
L03,Sales,Manager,2026-01-01,8.0
L07,Quality Assurance,Technician,2026-03-01,4.7
L08,Human Resources,Technician,2025-01-01,8.5
L06,Finance,Analyst,2025-09-01,4.0
L11,Customer Service,Director,2026-02-01,8.3
L08,Sales,Engineer,2026-01-01,6.7
L08,Regulatory Affairs,Director,2025-10-01,3.4
L06,Regulatory Affairs,Technician,2025-11-01,8.8
L05,Supply Chain,Coordinator,2026-06-01,11.7
L11,Supply Chain,Director,2026-05-01,2.8
L12,Sales,Senior Manager,2025-07-01,9.5
L09,Human Resources,Specialist,2025-12-01,8.0
L07,Facilities,Manager,2026-02-01,10.1
L04,Supply Chain,Coordinator,2025-10-01,6.5
L04,Quality Assurance,Engineer,2026-03-01,5.9
L09,Finance,Engineer,2026-05-01,10.9
L05,Regulatory Affairs,Manager,2026-02-01,9.4
L10,IT,Specialist,2025-09-01,4.0
L12,Supply Chain,Lead,2025-11-01,10.5
L01,Marketing,Engineer,2025-10-01,4.2
L01,Marketing,Engineer,2025-06-01,6.6
L07,Finance,Manager,2025-01-01,1.1
L04,Sales,Manager,2025-07-01,7.0
L12,Finance,Associate,2025-08-01,11.0
L08,Quality Assurance,Lead,2025-11-01,3.6
L06,Facilities,Engineer,2025-08-01,7.0
L01,R&D,Coordinator,2025-05-01,4.4
L06,R&D,Director,2025-02-01,8.3
L12,Human Resources,Engineer,2025-10-01,11.9
L01,Facilities,Manager,2026-06-01,1.6
L04,Marketing,Specialist,2025-03-01,2.1
L08,Customer Service,Technician,2025-08-01,10.0
L08,Customer Service,Director,2025-07-01,1.4
L12,Human Resources,Analyst,2025-04-01,2.1
L11,Marketing,Lead,2025-01-01,3.7
L03,Supply Chain,Director,2025-06-01,10.7
L05,Quality Assurance,Senior Manager,2026-02-01,10.2
L07,Quality Assurance,Director,2025-04-01,8.5
L09,Marketing,Associate,2025-08-01,6.6
L09,Human Resources,Director,2025-12-01,3.9
L02,Sales,Coordinator,2025-02-01,9.7
L11,R&D,Lead,2025-08-01,4.2
L02,Finance,Technician,2025-12-01,10.0
L06,Facilities,Specialist,2026-03-01,8.5
L07,Quality Assurance,Associate,2025-06-01,6.8
L02,Supply Chain,Associate,2025-07-01,3.3
L05,Supply Chain,Analyst,2025-05-01,10.2
L11,Marketing,Associate,2025-12-01,11.6
L12,Human Resources,Manager,2026-02-01,3.5
L02,Quality Assurance,Coordinator,2025-01-01,6.4
L09,R&D,Senior Manager,2026-03-01,5.0
L01,Customer Service,Lead,2025-02-01,5.4
L04,R&D,Lead,2026-02-01,3.3
L04,Customer Service,Lead,2025-11-01,11.4
L07,Human Resources,Associate,2025-02-01,4.1
L01,Human Resources,Director,2026-06-01,2.1
L03,Facilities,Coordinator,2026-03-01,3.1
L02,Quality Assurance,Specialist,2025-09-01,9.5
L09,IT,Senior Manager,2025-02-01,4.0
L06,R&D,Technician,2025-05-01,1.2
L06,Customer Service,Specialist,2026-01-01,3.9
L01,Facilities,Manager,2026-06-01,2.5
L12,Regulatory Affairs,Analyst,2025-08-01,3.4
L08,Marketing,Director,2026-03-01,4.9
L03,Customer Service,Lead,2025-03-01,1.8
L06,Sales,Lead,2025-01-01,9.1
L11,Sales,Specialist,2025-03-01,6.5
L12,Regulatory Affairs,Technician,2025-08-01,5.5
L10,Marketing,Specialist,2025-03-01,10.7
L11,Facilities,Manager,2026-04-01,6.1
L11,Facilities,Analyst,2025-11-01,0.7
L03,Facilities,Lead,2025-04-01,11.4
L08,Customer Service,Manager,2026-01-01,10.9
L06,R&D,Associate,2025-07-01,10.4
L09,R&D,Coordinator,2025-05-01,8.4
L02,Human Resources,Engineer,2026-05-01,6.1
L10,Quality Assurance,Manager,2025-04-01,7.3
L04,Supply Chain,Lead,2025-03-01,9.5
L08,Regulatory Affairs,Associate,2026-02-01,9.4
L02,Manufacturing,Director,2025-05-01,7.0
L11,Finance,Associate,2025-01-01,5.6
L05,Marketing,Lead,2025-03-01,4.8
L04,Manufacturing,Technician,2025-09-01,4.2
L01,Quality Assurance,Engineer,2025-05-01,9.4
L07,Human Resources,Senior Manager,2025-08-01,6.9
L09,Customer Service,Engineer,2025-07-01,9.1
L05,Facilities,Director,2025-02-01,2.5
L06,IT,Coordinator,2026-03-01,9.3
L01,Regulatory Affairs,Engineer,2025-09-01,0.6
L12,Regulatory Affairs,Technician,2026-02-01,8.4
L08,Facilities,Director,2025-10-01,7.7
L09,Human Resources,Manager,2025-08-01,9.6
L09,IT,Analyst,2025-02-01,1.4
L04,IT,Manager,2026-03-01,2.5
L01,Marketing,Analyst,2025-08-01,3.3
L07,Manufacturing,Analyst,2026-06-01,4.1
L03,Manufacturing,Analyst,2025-08-01,6.7
L09,Quality Assurance,Director,2025-08-01,2.5
L09,Human Resources,Specialist,2025-03-01,10.6
L11,Supply Chain,Senior Manager,2025-04-01,8.8
L11,Supply Chain,Specialist,2026-02-01,10.2
L04,IT,Lead,2025-03-01,8.0
L12,Finance,Specialist,2026-01-01,7.4
L08,Human Resources,Senior Manager,2025-10-01,8.0
L07,Finance,Manager,2025-02-01,1.0
L06,Quality Assurance,Analyst,2025-09-01,8.5
L02,Manufacturing,Associate,2025-01-01,5.8
L07,Regulatory Affairs,Technician,2026-06-01,4.7
L01,Facilities,Senior Manager,2025-11-01,1.7
L04,Finance,Engineer,2026-05-01,4.8
L02,Customer Service,Analyst,2025-09-01,9.7
L05,Marketing,Technician,2025-12-01,5.3
L08,Quality Assurance,Lead,2026-01-01,4.5
L07,R&D,Lead,2025-06-01,5.7
L08,R&D,Specialist,2026-03-01,5.6
L11,R&D,Senior Manager,2026-05-01,5.3
L03,Supply Chain,Specialist,2025-12-01,5.1
L03,Human Resources,Coordinator,2026-01-01,11.1
L08,IT,Specialist,2025-01-01,4.8
L08,Regulatory Affairs,Associate,2025-04-01,2.7
L09,Finance,Technician,2025-02-01,2.4
L03,Regulatory Affairs,Technician,2026-01-01,11.6
L05,Sales,Coordinator,2026-01-01,2.5
L07,Regulatory Affairs,Specialist,2025-01-01,3.9
L11,R&D,Analyst,2026-03-01,5.3
L02,Facilities,Technician,2025-06-01,7.7
L02,Marketing,Manager,2025-10-01,6.4
L02,Customer Service,Coordinator,2026-06-01,9.0
L04,Supply Chain,Technician,2026-04-01,0.8
L05,Supply Chain,Director,2026-01-01,6.7
L10,Supply Chain,Lead,2026-05-01,10.9
L01,Regulatory Affairs,Coordinator,2026-06-01,6.9
L04,Manufacturing,Engineer,2025-09-01,6.7
L08,Facilities,Lead,2025-08-01,5.1
L04,Human Resources,Analyst,2025-12-01,7.1
L03,Human Resources,Manager,2025-04-01,8.1
L03,Finance,Engineer,2026-01-01,4.3
L04,Sales,Analyst,2025-02-01,10.9
L01,Supply Chain,Manager,2025-04-01,1.4
L08,Quality Assurance,Manager,2026-05-01,2.3
L08,R&D,Senior Manager,2025-07-01,0.7
L09,R&D,Associate,2026-01-01,8.0
L08,Marketing,Associate,2026-05-01,7.5
L12,IT,Technician,2026-04-01,10.8
L10,Customer Service,Associate,2025-02-01,4.1
L03,R&D,Associate,2025-04-01,1.8
L09,Supply Chain,Director,2026-02-01,4.6
L12,R&D,Senior Manager,2026-06-01,8.1
L01,Supply Chain,Analyst,2026-04-01,2.9
L11,Human Resources,Director,2026-02-01,10.4
L02,Supply Chain,Specialist,2025-04-01,2.4
L08,Marketing,Director,2026-03-01,9.9
L12,Supply Chain,Analyst,2026-02-01,7.4
L10,Supply Chain,Specialist,2026-04-01,11.0
L09,R&D,Analyst,2025-07-01,6.5
L12,Human Resources,Lead,2025-02-01,5.0
L03,Human Resources,Engineer,2025-04-01,9.3
L11,Manufacturing,Associate,2025-03-01,5.4
L08,Marketing,Specialist,2025-06-01,1.8
L04,Human Resources,Specialist,2026-02-01,11.1
L04,R&D,Associate,2026-05-01,4.3
L10,Manufacturing,Engineer,2025-10-01,8.4
L01,Regulatory Affairs,Associate,2025-06-01,7.4
L12,Sales,Director,2026-05-01,9.4
L09,Regulatory Affairs,Director,2026-02-01,10.9
L04,Facilities,Lead,2026-06-01,9.2
L02,Quality Assurance,Associate,2025-09-01,12.0
L04,Customer Service,Manager,2025-05-01,11.0
L06,R&D,Associate,2025-09-01,1.3
L10,Human Resources,Manager,2025-11-01,6.9
L02,Facilities,Technician,2026-04-01,10.5
L03,R&D,Manager,2025-07-01,5.2
L01,R&D,Senior Manager,2026-01-01,3.2
L10,Sales,Director,2025-09-01,1.6
L04,Human Resources,Senior Manager,2025-09-01,4.2
L02,Marketing,Coordinator,2025-07-01,9.4
L10,Regulatory Affairs,Engineer,2026-04-01,7.4
L09,Facilities,Director,2025-02-01,8.0
L07,Human Resources,Technician,2025-12-01,10.6
L10,IT,Associate,2025-05-01,7.7
L12,Manufacturing,Senior Manager,2025-06-01,8.6
L08,Finance,Specialist,2025-11-01,8.0
L02,Supply Chain,Coordinator,2026-05-01,1.2
L04,Regulatory Affairs,Lead,2026-04-01,2.7
L07,Finance,Engineer,2026-04-01,8.5
L02,Finance,Specialist,2025-10-01,11.7
L12,Quality Assurance,Technician,2025-05-01,8.0
L11,Quality Assurance,Technician,2025-04-01,8.4
L09,Human Resources,Specialist,2025-02-01,5.2
L04,Quality Assurance,Specialist,2026-02-01,4.1
L01,R&D,Senior Manager,2025-04-01,8.0
L05,Sales,Technician,2025-06-01,3.9
L09,Sales,Manager,2025-01-01,2.3
L05,Regulatory Affairs,Director,2025-01-01,8.5
L05,Finance,Coordinator,2025-12-01,8.6
L02,R&D,Senior Manager,2026-02-01,8.1
L06,Supply Chain,Technician,2025-01-01,7.5
L10,Sales,Analyst,2025-10-01,6.2
L04,Customer Service,Senior Manager,2025-03-01,10.8
L08,Manufacturing,Director,2025-10-01,10.1
L03,Sales,Director,2025-03-01,8.4
L10,Manufacturing,Senior Manager,2025-06-01,4.9
L02,Facilities,Analyst,2025-01-01,7.9
L06,Supply Chain,Director,2025-09-01,2.6
L10,Customer Service,Manager,2025-02-01,7.8
L03,Regulatory Affairs,Associate,2026-01-01,8.7
L07,Customer Service,Coordinator,2025-06-01,9.4
L10,Marketing,Specialist,2025-08-01,6.7
L02,Customer Service,Technician,2025-03-01,10.1
L11,IT,Specialist,2025-01-01,10.1
L04,Sales,Manager,2025-09-01,8.0
L03,Sales,Engineer,2026-01-01,5.4
L03,IT,Specialist,2025-09-01,5.2
L04,Sales,Senior Manager,2026-06-01,7.5
L04,Sales,Specialist,2026-04-01,4.8
L12,IT,Coordinator,2026-02-01,10.9
L05,Human Resources,Engineer,2026-05-01,5.5
L06,Sales,Manager,2025-10-01,3.4
L09,Quality Assurance,Coordinator,2025-05-01,6.9
L06,Manufacturing,Associate,2025-09-01,2.8
L01,Customer Service,Director,2025-06-01,11.7
L09,Facilities,Senior Manager,2025-12-01,7.5
L08,Facilities,Engineer,2025-08-01,7.0
L10,Supply Chain,Technician,2025-11-01,2.9
L10,R&D,Associate,2026-01-01,4.3
L05,Finance,Analyst,2026-06-01,6.5
L01,Manufacturing,Lead,2025-11-01,3.7
L09,IT,Associate,2025-07-01,11.2
L05,Human Resources,Lead,2026-01-01,8.2
L09,Supply Chain,Coordinator,2026-03-01,7.3
L10,Customer Service,Technician,2026-03-01,0.7
L12,R&D,Associate,2025-01-01,10.5
L07,Customer Service,Engineer,2025-03-01,10.2
L10,Finance,Analyst,2025-03-01,0.8
