transaction_id,account_code,level_code,version,period_date,amount
TXN0000099,EXP022,L04,Budget,2025-02-01,398533.58
TXN0000100,EXP001,L02,Budget,2025-01-01,328929.05
TXN0000101,EXP008,L02,Budget,2026-01-01,330027.99
TXN0000102,EXP032,L01,Budget,2025-09-01,238161.32
TXN0000103,EXP040,L10,Forecast,2025-03-01,333057.28
TXN0000104,EXP019,L03,Budget,2025-03-01,186009.95
TXN0000105,EXP055,L06,Actual,2025-06-01,258098.68
TXN0000106,EXP045,L04,Forecast,2025-04-01,199573.38
TXN0000107,EXP010,L07,Forecast,2025-10-01,14749.43
TXN0000108,EXP055,L06,Actual,2025-06-01,278573.69
TXN0000109,EXP052,L04,Actual,2025-12-01,380778.42
TXN0000110,EXP020,L04,Actual,2026-01-01,168351.9
TXN0000111,EXP060,L07,Budget,2025-10-01,267169.64
TXN0000112,EXP009,L04,Budget,2026-03-01,61190.93
TXN0000113,EXP005,L05,Budget,2025-03-01,25381.74
TXN0000114,EXP057,L08,Budget,2025-05-01,44854.45
TXN0000115,EXP029,L08,Budget,2025-05-01,289662.35
TXN0000116,EXP019,L03,Actual,2025-11-01,232549.58
TXN0000117,EXP046,L06,Actual,2026-02-01,165132.46
TXN0000118,EXP060,L07,Forecast,2026-06-01,292293.42
TXN0000119,EXP020,L04,Forecast,2025-07-01,358444.68
TXN0000120,EXP042,L12,Budget,2025-12-01,64299.32
TXN0000121,EXP008,L02,Actual,2025-03-01,21467.05
TXN0000122,EXP054,L07,Actual,2026-01-01,76251.87
TXN0000123,EXP032,L01,Actual,2026-01-01,313922.46
TXN0000124,EXP056,L07,Actual,2026-03-01,54895.5
TXN0000125,EXP021,L02,Forecast,2026-02-01,264045.12
TXN0000126,EXP059,L07,Forecast,2025-06-01,4960.6
TXN0000127,EXP051,L01,Budget,2025-09-01,167488.81
TXN0000128,EXP032,L01,Actual,2025-05-01,18726.14
TXN0000129,EXP004,L10,Budget,2026-05-01,242360.89
TXN0000130,HC003,L08,Budget,2025-06-01,27.0
TXN0000131,REV003,L10,Budget,2025-12-01,654660.44
TXN0000132,EXP052,L04,Forecast,2025-12-01,136197.57
TXN0000133,EXP002,L10,Actual,2026-05-01,82281.86
TXN0000134,EXP005,L05,Actual,2026-05-01,110831.52
TXN0000135,EXP026,L04,Forecast,2025-07-01,175105.19
TXN0000136,EXP047,L07,Budget,2026-03-01,385728.72
TXN0000137,EXP038,L09,Forecast,2025-10-01,216439.32
TXN0000138,EXP049,L04,Actual,2025-02-01,115225.3
TXN0000139,REV002,L09,Actual,2025-03-01,453339.93
TXN0000140,EXP057,L08,Actual,2026-03-01,365813.87
TXN0000141,EXP039,L07,Forecast,2025-08-01,369389.63
TXN0000142,EXP054,L07,Forecast,2025-08-01,180809.99
TXN0000143,EXP020,L04,Forecast,2025-02-01,327061.03
TXN0000144,EXP043,L10,Forecast,2025-09-01,159135.41
TXN0000145,REV001,L04,Forecast,2025-08-01,84462.52
TXN0000146,EXP053,L08,Actual,2025-08-01,159998.11
TXN0000147,EXP028,L12,Budget,2025-03-01,321351.69
TXN0000148,HC003,L08,Forecast,2026-06-01,27.0
TXN0000149,REV002,L09,Forecast,2025-10-01,703565.73
TXN0000150,EXP043,L10,Budget,2026-04-01,395569.62
TXN0000151,EXP009,L04,Forecast,2026-06-01,116447.74
TXN0000152,EXP003,L12,Budget,2026-01-01,225180.38
TXN0000153,EXP022,L04,Budget,2026-06-01,263128.81
TXN0000154,REV001,L04,Forecast,2026-02-01,117725.36
TXN0000155,EXP042,L12,Budget,2026-04-01,10234.98
TXN0000156,EXP004,L10,Forecast,2025-09-01,69271.01
TXN0000157,EXP019,L03,Forecast,2025-09-01,167399.11
TXN0000158,EXP058,L12,Actual,2025-07-01,292206.39
TXN0000159,EXP024,L10,Budget,2025-10-01,125177.98
TXN0000160,EXP035,L07,Forecast,2026-06-01,256331.0
TXN0000161,REV005,L03,Budget,2025-04-01,775075.74
TXN0000162,REV001,L04,Budget,2025-03-01,711865.14
TXN0000163,EXP051,L01,Actual,2025-06-01,47121.56
TXN0000164,EXP029,L08,Actual,2025-04-01,201184.3
TXN0000165,EXP054,L07,Forecast,2026-03-01,205290.28
TXN0000166,EXP031,L10,Forecast,2025-09-01,314627.81
TXN0000167,EXP023,L07,Budget,2025-12-01,72206.62
TXN0000168,EXP052,L04,Budget,2026-06-01,378086.41
TXN0000169,EXP047,L07,Budget,2025-03-01,396864.95
TXN0000170,EXP006,L08,Budget,2025-11-01,65815.25
TXN0000171,EXP053,L08,Forecast,2026-06-01,79279.84
TXN0000172,EXP060,L07,Forecast,2025-12-01,13856.06
TXN0000173,EXP055,L06,Actual,2026-02-01,43220.62
TXN0000174,EXP033,L05,Actual,2025-07-01,68674.16
TXN0000175,EXP040,L10,Forecast,2026-04-01,309838.43
TXN0000176,EXP048,L04,Forecast,2025-03-01,390502.63
TXN0000177,EXP048,L04,Budget,2026-04-01,223868.19
TXN0000178,EXP030,L12,Actual,2025-11-01,257725.9
TXN0000179,EXP008,L02,Budget,2025-02-01,182257.95
TXN0000180,REV001,L04,Forecast,2025-12-01,64553.13
TXN0000181,EXP043,L10,Actual,2025-11-01,167382.41
TXN0000182,EXP054,L07,Budget,2025-11-01,345078.72
TXN0000183,EXP001,L02,Budget,2025-04-01,238670.1
TXN0000184,EXP036,L06,Budget,2025-05-01,190425.06
TXN0000185,EXP036,L06,Forecast,2025-11-01,49661.71
TXN0000186,EXP052,L04,Budget,2025-11-01,99922.95
TXN0000187,EXP035,L07,Actual,2025-10-01,17497.64
TXN0000188,EXP002,L10,Budget,2025-10-01,266599.82
TXN0000189,EXP004,L10,Forecast,2025-09-01,326645.95
TXN0000190,EXP005,L05,Actual,2025-11-01,340195.33
TXN0000191,REV005,L03,Forecast,2025-12-01,113844.91
TXN0000192,EXP020,L04,Forecast,2025-10-01,163934.61
TXN0000193,REV002,L09,Actual,2025-11-01,207059.73
TXN0000194,EXP001,L02,Budget,2026-05-01,241956.75
TXN0000195,EXP055,L06,Budget,2025-12-01,47122.92
TXN0000196,HC002,L04,Actual,2025-11-01,57.0
TXN0000197,EXP003,L12,Budget,2025-07-01,233726.82
TXN0000198,EXP001,L02,Budget,2025-02-01,112052.93
TXN0000199,EXP054,L07,Forecast,2026-06-01,365363.34
TXN0000200,EXP001,L02,Forecast,2026-06-01,374213.3
TXN0000201,EXP056,L07,Forecast,2026-06-01,120288.15
TXN0000202,EXP036,L06,Forecast,2025-10-01,41973.42
TXN0000203,EXP026,L04,Budget,2025-10-01,367697.65
TXN0000204,EXP027,L02,Budget,2025-11-01,109081.18
TXN0000205,REV004,L01,Budget,2025-03-01,130167.72
TXN0000206,EXP038,L09,Budget,2025-04-01,356778.15
TXN0000207,REV003,L10,Actual,2025-12-01,395090.39
TXN0000208,EXP002,L10,Actual,2025-06-01,237159.83
TXN0000209,EXP036,L06,Budget,2025-03-01,134957.01
TXN0000210,EXP007,L02,Forecast,2025-04-01,253073.87
TXN0000211,REV002,L09,Actual,2025-07-01,669436.36
TXN0000212,EXP004,L10,Budget,2026-05-01,96957.44
TXN0000213,EXP027,L02,Budget,2026-05-01,350278.95
TXN0000214,EXP037,L01,Forecast,2025-07-01,198075.82
TXN0000215,HC001,L04,Budget,2026-02-01,14.0
TXN0000216,EXP040,L10,Forecast,2026-01-01,78603.77
TXN0000217,EXP034,L11,Actual,2025-12-01,56211.78
TXN0000218,EXP038,L09,Actual,2025-10-01,109205.37
TXN0000219,EXP040,L10,Budget,2026-02-01,103489.72
TXN0000220,EXP039,L07,Actual,2025-01-01,391170.71
TXN0000221,EXP026,L04,Forecast,2025-07-01,299220.68
TXN0000222,EXP045,L04,Budget,2025-06-01,326149.6
TXN0000223,EXP038,L09,Budget,2025-08-01,54714.53
TXN0000224,REV003,L10,Budget,2025-08-01,683148.13
TXN0000225,EXP047,L07,Budget,2026-01-01,54918.9
TXN0000226,EXP009,L04,Actual,2025-04-01,230680.74
TXN0000227,EXP042,L12,Budget,2025-04-01,332328.34
TXN0000228,REV001,L04,Actual,2025-04-01,340153.44
TXN0000229,EXP029,L08,Budget,2025-05-01,290277.06
TXN0000230,EXP051,L01,Budget,2025-12-01,131394.42
TXN0000231,EXP027,L02,Actual,2026-05-01,272765.18
TXN0000232,EXP029,L08,Forecast,2025-07-01,343386.98
TXN0000233,EXP005,L05,Budget,2026-01-01,142564.92
TXN0000234,EXP056,L07,Forecast,2025-08-01,196985.51
TXN0000235,HC003,L08,Actual,2025-02-01,17.0
TXN0000236,REV001,L04,Actual,2026-03-01,184814.33
TXN0000237,EXP051,L01,Budget,2026-03-01,210664.23
TXN0000238,EXP009,L04,Actual,2025-04-01,352760.02
TXN0000239,EXP005,L05,Actual,2025-09-01,72469.91
TXN0000240,EXP050,L10,Budget,2026-04-01,314706.7
TXN0000241,EXP034,L11,Budget,2026-03-01,140441.51
TXN0000242,EXP042,L12,Budget,2026-03-01,81967.75
TXN0000243,EXP056,L07,Actual,2026-04-01,385476.25
TXN0000244,HC003,L08,Budget,2026-04-01,15.0
TXN0000245,EXP029,L08,Budget,2025-01-01,312841.11
TXN0000246,EXP042,L12,Actual,2026-01-01,89111.41
TXN0000247,EXP036,L06,Forecast,2025-05-01,45710.11
TXN0000248,EXP047,L07,Actual,2026-05-01,103414.85
TXN0000249,EXP002,L10,Actual,2026-05-01,320185.61
TXN0000250,EXP048,L04,Actual,2025-01-01,27061.17
TXN0000251,EXP057,L08,Budget,2025-08-01,359712.72
TXN0000252,HC002,L04,Budget,2026-06-01,55.0
TXN0000253,EXP040,L10,Forecast,2026-05-01,368887.34
TXN0000254,EXP041,L06,Actual,2026-05-01,3341.59
TXN0000255,REV002,L09,Actual,2026-06-01,406767.24
TXN0000256,EXP022,L04,Budget,2026-04-01,78980.82
TXN0000257,EXP002,L10,Forecast,2025-10-01,288910.55
TXN0000258,EXP028,L12,Actual,2025-09-01,235304.56
TXN0000259,EXP041,L06,Actual,2025-12-01,40243.79
TXN0000260,EXP031,L10,Forecast,2025-07-01,356322.31
TXN0000261,EXP021,L02,Budget,2025-11-01,144038.5
TXN0000262,EXP049,L04,Budget,2026-06-01,134704.82
TXN0000263,EXP010,L07,Actual,2026-06-01,8539.69
TXN0000264,REV005,L03,Budget,2025-05-01,246608.77
TXN0000265,EXP056,L07,Budget,2025-07-01,187898.98
TXN0000266,EXP035,L07,Forecast,2025-03-01,42840.83
TXN0000267,EXP036,L06,Actual,2025-05-01,89851.4
TXN0000268,EXP009,L04,Budget,2025-12-01,40548.76
TXN0000269,HC002,L04,Budget,2026-02-01,8.0
TXN0000270,HC003,L08,Forecast,2026-03-01,58.0
TXN0000271,EXP009,L04,Budget,2025-11-01,369579.73
TXN0000272,EXP040,L10,Budget,2025-03-01,322555.49
TXN0000273,EXP051,L01,Forecast,2026-06-01,299074.26
TXN0000274,EXP049,L04,Budget,2025-02-01,191452.96
TXN0000275,HC003,L08,Forecast,2025-06-01,43.0
TXN0000276,EXP049,L04,Forecast,2025-01-01,370638.83
TXN0000277,EXP032,L01,Budget,2026-02-01,355212.37
TXN0000278,EXP002,L10,Budget,2026-05-01,233985.93
TXN0000279,EXP060,L07,Forecast,2025-09-01,2036.98
TXN0000280,EXP045,L04,Actual,2025-12-01,301824.3
TXN0000281,EXP036,L06,Forecast,2025-06-01,12705.95
TXN0000282,EXP002,L10,Forecast,2025-01-01,267584.84
TXN0000283,EXP008,L02,Budget,2025-06-01,95219.38
TXN0000284,REV003,L10,Forecast,2025-06-01,216477.65
TXN0000285,EXP009,L04,Budget,2025-05-01,119409.99
TXN0000286,REV004,L01,Forecast,2026-03-01,241781.4
TXN0000287,EXP004,L10,Budget,2025-04-01,290846.05
TXN0000288,EXP047,L07,Budget,2025-12-01,251597.97
TXN0000289,EXP057,L08,Actual,2026-02-01,63263.93
TXN0000290,REV005,L03,Budget,2026-04-01,371373.22
TXN0000291,EXP006,L08,Actual,2025-02-01,214145.81
TXN0000292,EXP044,L03,Actual,2025-04-01,35761.27
TXN0000293,EXP006,L08,Budget,2025-03-01,63188.4
TXN0000294,EXP002,L10,Actual,2025-08-01,280475.64
TXN0000295,EXP006,L08,Actual,2026-05-01,286061.48
TXN0000296,EXP057,L08,Forecast,2026-05-01,380086.82
TXN0000297,EXP060,L07,Forecast,2025-11-01,354782.5
TXN0000298,EXP006,L08,Forecast,2026-06-01,264885.62
TXN0000299,EXP009,L04,Actual,2026-02-01,70509.74
TXN0000300,EXP054,L07,Actual,2025-09-01,127660.62
TXN0000301,EXP039,L07,Budget,2025-01-01,80115.32
TXN0000302,EXP019,L03,Actual,2026-06-01,187017.62
TXN0000303,EXP001,L02,Forecast,2025-04-01,319047.52
TXN0000304,EXP004,L10,Budget,2025-08-01,295327.42
TXN0000305,EXP035,L07,Budget,2026-06-01,192770.03
TXN0000306,EXP059,L07,Forecast,2025-05-01,23027.02
TXN0000307,EXP007,L02,Forecast,2025-08-01,319979.27
TXN0000308,HC001,L04,Budget,2026-05-01,55.0
TXN0000309,EXP039,L07,Forecast,2025-03-01,98114.9
TXN0000310,EXP036,L06,Budget,2025-11-01,210980.2
TXN0000311,EXP001,L02,Actual,2025-09-01,134166.19
TXN0000312,EXP004,L10,Budget,2025-02-01,172232.84
TXN0000313,EXP055,L06,Budget,2025-05-01,321542.28
TXN0000314,EXP010,L07,Forecast,2025-03-01,208146.12
TXN0000315,EXP040,L10,Actual,2025-03-01,170004.72
TXN0000316,EXP041,L06,Forecast,2025-03-01,295620.96
TXN0000317,EXP021,L02,Actual,2025-06-01,273172.9
TXN0000318,EXP055,L06,Actual,2025-01-01,15176.24
TXN0000319,REV001,L04,Budget,2025-01-01,783452.92
TXN0000320,EXP047,L07,Budget,2025-03-01,130353.65
TXN0000321,EXP049,L04,Forecast,2025-03-01,34887.78
TXN0000322,EXP008,L02,Actual,2025-04-01,176713.67
TXN0000323,EXP058,L12,Forecast,2025-12-01,24784.54
TXN0000324,EXP041,L06,Forecast,2025-01-01,288251.71
TXN0000325,EXP023,L07,Actual,2026-01-01,269527.07
TXN0000326,EXP051,L01,Forecast,2025-10-01,301506.67
TXN0000327,HC002,L04,Budget,2025-03-01,35.0
TXN0000328,EXP053,L08,Budget,2026-06-01,191757.78
TXN0000329,EXP032,L01,Forecast,2025-03-01,61929.74
TXN0000330,EXP053,L08,Actual,2026-05-01,249418.68
TXN0000331,REV003,L10,Actual,2026-01-01,448543.23
TXN0000332,EXP033,L05,Actual,2026-03-01,12448.04
TXN0000333,EXP039,L07,Budget,2025-01-01,265490.77
TXN0000334,EXP057,L08,Budget,2026-01-01,139450.16
TXN0000335,EXP022,L04,Budget,2025-12-01,290111.89
TXN0000336,HC003,L08,Forecast,2025-05-01,26.0
TXN0000337,EXP025,L08,Forecast,2025-04-01,95849.11
TXN0000338,EXP005,L05,Actual,2026-05-01,92682.21
TXN0000339,EXP021,L02,Actual,2025-02-01,147751.84
TXN0000340,EXP053,L08,Budget,2026-01-01,292380.67
TXN0000341,EXP036,L06,Forecast,2025-02-01,250756.73
TXN0000342,REV004,L01,Actual,2025-07-01,254331.38
TXN0000343,EXP039,L07,Forecast,2026-06-01,185089.41
TXN0000344,EXP023,L07,Budget,2026-05-01,75537.04
TXN0000345,REV005,L03,Budget,2025-09-01,731694.66
TXN0000346,EXP060,L07,Budget,2026-01-01,102620.42
TXN0000347,EXP034,L11,Budget,2026-06-01,366263.5
TXN0000348,EXP048,L04,Budget,2025-09-01,250980.21
TXN0000349,HC002,L04,Forecast,2025-06-01,36.0
TXN0000350,EXP031,L10,Actual,2025-08-01,207234.01
TXN0000351,EXP025,L08,Forecast,2025-07-01,212271.88
TXN0000352,REV005,L03,Actual,2025-09-01,255893.11
TXN0000353,EXP044,L03,Budget,2025-05-01,279264.53
TXN0000354,EXP040,L10,Forecast,2025-10-01,290943.87
TXN0000355,EXP034,L11,Forecast,2025-10-01,164241.2
TXN0000356,EXP006,L08,Budget,2025-08-01,352019.55
TXN0000357,EXP049,L04,Forecast,2025-05-01,148566.09
TXN0000358,EXP047,L07,Forecast,2026-02-01,87121.98
TXN0000359,EXP020,L04,Actual,2025-03-01,185862.18
TXN0000360,REV003,L10,Actual,2025-10-01,853634.92
TXN0000361,EXP041,L06,Actual,2025-06-01,143161.08
TXN0000362,EXP049,L04,Actual,2025-10-01,346776.83
TXN0000363,REV003,L10,Budget,2026-01-01,720360.16
TXN0000364,EXP047,L07,Forecast,2025-12-01,137292.43
TXN0000365,EXP044,L03,Budget,2025-10-01,78285.48
TXN0000366,EXP056,L07,Forecast,2025-01-01,268128.42
TXN0000367,EXP031,L10,Actual,2025-10-01,165654.27
TXN0000368,HC003,L08,Actual,2026-05-01,37.0
TXN0000369,EXP053,L08,Forecast,2026-05-01,366677.23
TXN0000370,REV002,L09,Budget,2025-04-01,363116.02
TXN0000371,EXP036,L06,Forecast,2026-05-01,208461.27
TXN0000372,EXP054,L07,Actual,2025-11-01,290746.88
TXN0000373,EXP004,L10,Actual,2025-02-01,270123.76
TXN0000374,EXP022,L04,Budget,2025-10-01,275357.33
TXN0000375,REV004,L01,Actual,2025-08-01,223943.89
TXN0000376,EXP009,L04,Budget,2025-12-01,79342.91
TXN0000377,EXP034,L11,Actual,2025-11-01,353625.14
TXN0000378,EXP003,L12,Actual,2025-08-01,323068.59
TXN0000379,EXP052,L04,Budget,2025-03-01,39640.81
TXN0000380,EXP039,L07,Actual,2026-05-01,187647.11
TXN0000381,EXP057,L08,Budget,2026-06-01,21235.47
TXN0000382,EXP008,L02,Budget,2025-03-01,253087.69
TXN0000383,EXP008,L02,Actual,2025-07-01,55613.37
TXN0000384,EXP042,L12,Actual,2025-08-01,17606.04
TXN0000385,EXP027,L02,Budget,2025-03-01,382571.82
TXN0000386,EXP059,L07,Forecast,2026-05-01,199673.23
TXN0000387,EXP021,L02,Actual,2025-04-01,185761.82
TXN0000388,EXP033,L05,Actual,2026-06-01,288673.86
TXN0000389,EXP034,L11,Budget,2025-01-01,364781.34
TXN0000390,EXP009,L04,Budget,2025-01-01,235263.93
TXN0000391,EXP022,L04,Actual,2025-04-01,220796.69
TXN0000392,EXP054,L07,Forecast,2026-05-01,369881.94
TXN0000393,HC001,L04,Forecast,2026-01-01,22.0
TXN0000394,EXP031,L10,Forecast,2026-04-01,107027.09
TXN0000395,EXP019,L03,Forecast,2025-04-01,384226.69
TXN0000396,EXP059,L07,Actual,2025-01-01,353147.95
TXN0000397,EXP044,L03,Budget,2026-01-01,148426.13
TXN0000398,EXP051,L01,Actual,2025-05-01,354581.81
TXN0000399,REV005,L03,Actual,2025-03-01,737236.57
TXN0000400,EXP056,L07,Forecast,2025-10-01,45324.74
TXN0000401,EXP019,L03,Budget,2025-08-01,160006.85
TXN0000402,EXP031,L10,Actual,2025-01-01,235449.72
TXN0000403,EXP049,L04,Actual,2025-07-01,69899.07
TXN0000404,EXP047,L07,Budget,2025-07-01,243414.2
TXN0000405,EXP033,L05,Budget,2025-03-01,97576.67
TXN0000406,HC003,L08,Actual,2025-11-01,27.0
TXN0000407,REV005,L03,Budget,2025-09-01,843711.19
TXN0000408,EXP045,L04,Forecast,2025-10-01,53760.88
TXN0000409,EXP035,L07,Actual,2025-02-01,332174.06
TXN0000410,EXP041,L06,Budget,2025-11-01,96584.16
TXN0000411,EXP060,L07,Actual,2026-02-01,175277.76
TXN0000412,EXP051,L01,Forecast,2025-02-01,208697.02
TXN0000413,EXP002,L10,Budget,2025-05-01,171753.36
TXN0000414,EXP055,L06,Budget,2025-02-01,377651.49
TXN0000415,EXP056,L07,Budget,2026-05-01,354205.06
TXN0000416,EXP024,L10,Actual,2026-01-01,354046.76
TXN0000417,EXP001,L02,Budget,2026-01-01,63288.74
TXN0000418,EXP030,L12,Budget,2025-11-01,376243.08
TXN0000419,EXP009,L04,Budget,2025-06-01,307502.67
TXN0000420,HC002,L04,Actual,2025-12-01,4.0
TXN0000421,EXP053,L08,Actual,2026-05-01,221015.97
TXN0000422,EXP028,L12,Forecast,2025-04-01,195183.68
TXN0000423,EXP055,L06,Actual,2026-02-01,305694.69
TXN0000424,EXP042,L12,Budget,2025-07-01,393600.11
TXN0000425,EXP054,L07,Actual,2025-10-01,300366.01
TXN0000426,REV003,L10,Budget,2025-08-01,308405.27
TXN0000427,EXP036,L06,Budget,2026-05-01,394088.47
TXN0000428,EXP050,L10,Budget,2025-11-01,120779.22
TXN0000429,EXP031,L10,Forecast,2026-06-01,295189.93
TXN0000430,EXP034,L11,Budget,2026-02-01,20355.99
TXN0000431,EXP010,L07,Forecast,2025-12-01,246574.4
TXN0000432,EXP003,L12,Budget,2025-04-01,267476.25
TXN0000433,EXP029,L08,Forecast,2025-01-01,243061.46
TXN0000434,REV004,L01,Forecast,2025-12-01,894211.93
TXN0000435,EXP038,L09,Forecast,2025-03-01,321708.04
TXN0000436,EXP019,L03,Forecast,2025-06-01,374114.71
TXN0000437,EXP046,L06,Actual,2025-09-01,233993.84
TXN0000438,EXP006,L08,Actual,2026-02-01,307118.14
TXN0000439,EXP037,L01,Actual,2025-10-01,332452.31
TXN0000440,EXP042,L12,Forecast,2026-03-01,37682.56
TXN0000441,EXP034,L11,Actual,2025-05-01,215035.31
TXN0000442,EXP024,L10,Forecast,2026-01-01,255437.25
TXN0000443,EXP037,L01,Budget,2025-05-01,133480.82
TXN0000444,EXP002,L10,Actual,2025-01-01,309375.2
TXN0000445,EXP057,L08,Actual,2025-07-01,381408.82
TXN0000446,EXP057,L08,Budget,2025-04-01,75611.93
TXN0000447,EXP050,L10,Budget,2025-10-01,312650.19
TXN0000448,EXP050,L10,Actual,2026-01-01,226438.22
TXN0000449,REV004,L01,Actual,2025-01-01,891519.25
