item_id,board_id,item_name,status,created_at,updated_at
ITM000034,BRD0009,Follow up with device fleet,Done,2025-11-07,2026-01-02
ITM000035,BRD0005,Follow up with audit,Done,2025-04-10,2025-04-29
ITM000036,BRD0002,Escalate batch issue,Stuck,2024-02-11,2024-03-30
ITM000037,BRD0014,Approve site request,Done,2025-03-12,2025-05-25
ITM000038,BRD0003,Coordinate batch shipment,Working on it,2024-04-15,2024-04-26
ITM000039,BRD0012,Escalate device issue,Stuck,2025-11-11,2026-01-13
ITM000040,BRD0014,Close out contract task,Working on it,2024-04-17,2024-08-05
ITM000041,BRD0013,Approve batch request,Stuck,2025-10-17,2025-12-21
ITM000042,BRD0006,Close out batch task,Stuck,2024-03-26,2024-03-27
ITM000043,BRD0002,Coordinate device shipment,Done,2024-08-14,2024-10-28
ITM000044,BRD0007,Approve site request,Stuck,2026-04-26,2026-07-25
ITM000045,BRD0008,Close out device fleet task,Done,2025-11-14,2026-01-01
ITM000046,BRD0001,Follow up with device fleet,Done,2025-10-20,2025-11-01
ITM000047,BRD0010,Follow up with site,Stuck,2024-09-01,2024-10-17
ITM000048,BRD0010,Close out contract task,Done,2024-02-10,2024-03-25
ITM000049,BRD0011,Coordinate shipment shipment,Done,2025-06-19,2025-06-23
ITM000050,BRD0007,Close out vendor task,Working on it,2024-07-04,2024-07-07
ITM000051,BRD0011,Escalate site issue,Working on it,2025-02-26,2025-06-08
ITM000052,BRD0001,Coordinate batch shipment,Working on it,2025-11-30,2026-01-13
ITM000053,BRD0006,Schedule batch inspection,Working on it,2024-02-18,2024-03-30
ITM000054,BRD0008,Approve region request,Working on it,2026-02-28,2026-06-18
ITM000055,BRD0009,Escalate contract issue,Done,2026-03-10,2026-06-22
ITM000056,BRD0003,Coordinate site shipment,Working on it,2025-09-23,2025-11-30
ITM000057,BRD0012,Schedule facility inspection,Done,2024-04-13,2024-08-08
ITM000058,BRD0012,Follow up with contract,Working on it,2025-05-24,2025-08-13
ITM000059,BRD0003,Close out device task,Working on it,2025-12-25,2026-02-25
ITM000060,BRD0006,Escalate shipment issue,Stuck,2026-02-11,2026-03-03
ITM000061,BRD0003,Escalate vendor issue,Working on it,2025-08-18,2025-09-26
ITM000062,BRD0015,Approve audit request,Done,2025-02-11,2025-05-01
ITM000063,BRD0012,Follow up with device,Working on it,2025-12-29,2026-03-15
ITM000064,BRD0015,Close out batch task,Working on it,2024-12-14,2025-02-20
ITM000065,BRD0006,Close out region task,Stuck,2024-04-16,2024-08-02
ITM000066,BRD0012,Approve device fleet request,Done,2024-03-25,2024-05-05
ITM000067,BRD0004,Coordinate vendor shipment,Working on it,2024-06-07,2024-08-31
ITM000068,BRD0005,Review shipment submission,Working on it,2025-12-12,2026-01-09
ITM000069,BRD0004,Schedule shipment inspection,Done,2024-08-09,2024-08-27
ITM000070,BRD0001,Approve device request,Stuck,2026-05-28,2026-08-14
ITM000071,BRD0008,Coordinate contract shipment,Done,2025-08-04,2025-08-28
ITM000072,BRD0007,Update audit documentation,Done,2025-10-04,2025-12-16
ITM000073,BRD0015,Close out batch task,Done,2025-01-07,2025-04-19
ITM000074,BRD0013,Approve contract request,Working on it,2024-08-28,2024-10-07
ITM000075,BRD0009,Escalate site issue,Stuck,2024-05-17,2024-06-27
ITM000076,BRD0014,Schedule audit inspection,Done,2024-04-08,2024-08-03
ITM000077,BRD0013,Coordinate audit shipment,Working on it,2026-04-06,2026-07-20
ITM000078,BRD0010,Schedule facility inspection,Done,2025-10-22,2025-12-31
ITM000079,BRD0014,Schedule shipment inspection,Working on it,2026-05-06,2026-05-12
ITM000080,BRD0008,Coordinate shipment shipment,Done,2024-03-07,2024-03-28
ITM000081,BRD0001,Coordinate audit shipment,Done,2024-12-21,2025-02-20
ITM000082,BRD0014,Update site documentation,Done,2024-03-07,2024-06-07
ITM000083,BRD0005,Approve vendor request,Done,2025-05-17,2025-07-11
ITM000084,BRD0012,Update contract documentation,Working on it,2025-04-07,2025-05-16
ITM000085,BRD0009,Approve facility request,Working on it,2026-03-28,2026-07-18
ITM000086,BRD0009,Close out region task,Done,2025-11-28,2026-02-11
ITM000087,BRD0006,Review device fleet submission,Working on it,2026-02-11,2026-03-28
ITM000088,BRD0010,Follow up with site,Done,2025-06-26,2025-08-17
ITM000089,BRD0012,Update device documentation,Working on it,2025-09-07,2025-12-15
ITM000090,BRD0013,Update region documentation,Working on it,2025-05-21,2025-08-22
ITM000091,BRD0002,Escalate site issue,Working on it,2025-02-17,2025-05-01
ITM000092,BRD0012,Close out contract task,Working on it,2025-04-30,2025-05-17
ITM000093,BRD0014,Escalate region issue,Working on it,2024-12-29,2025-01-20
ITM000094,BRD0012,Close out batch task,Done,2024-07-07,2024-08-09
ITM000095,BRD0007,Schedule device inspection,Working on it,2025-10-24,2026-01-13
ITM000096,BRD0002,Escalate shipment issue,Done,2025-06-20,2025-07-22
ITM000097,BRD0001,Review audit submission,Working on it,2025-01-17,2025-01-29
ITM000098,BRD0003,Review audit submission,Working on it,2024-11-30,2025-01-18
ITM000099,BRD0005,Review device fleet submission,Done,2026-05-29,2026-06-06
ITM000100,BRD0003,Schedule device fleet inspection,Done,2025-07-02,2025-07-29
ITM000101,BRD0006,Follow up with region,Done,2025-08-10,2025-09-01
ITM000102,BRD0015,Coordinate region shipment,Done,2026-04-13,2026-07-26
ITM000103,BRD0008,Review device fleet submission,Working on it,2025-07-04,2025-10-25
ITM000104,BRD0013,Follow up with batch,Stuck,2024-04-20,2024-06-03
ITM000105,BRD0011,Update device fleet documentation,Done,2024-04-12,2024-06-14
ITM000106,BRD0004,Update device fleet documentation,Stuck,2025-04-10,2025-08-06
ITM000107,BRD0011,Close out shipment task,Stuck,2025-11-15,2026-01-24
ITM000108,BRD0002,Escalate device issue,Working on it,2024-09-02,2024-12-15
ITM000109,BRD0008,Schedule contract inspection,Working on it,2024-03-01,2024-06-26
ITM000110,BRD0015,Coordinate device fleet shipment,Working on it,2025-06-16,2025-06-27
ITM000111,BRD0011,Escalate audit issue,Done,2025-12-20,2026-02-26
ITM000112,BRD0009,Close out audit task,Done,2024-10-16,2024-11-26
ITM000113,BRD0003,Coordinate device shipment,Working on it,2025-10-03,2025-11-26
ITM000114,BRD0007,Close out contract task,Working on it,2024-01-25,2024-03-27
ITM000115,BRD0002,Escalate audit issue,Done,2025-02-02,2025-03-13
ITM000116,BRD0008,Approve vendor request,Done,2024-02-12,2024-03-07
ITM000117,BRD0002,Approve device fleet request,Done,2025-08-07,2025-10-15
ITM000118,BRD0003,Escalate vendor issue,Done,2024-02-18,2024-03-27
ITM000119,BRD0007,Schedule facility inspection,Stuck,2024-02-23,2024-06-07
ITM000120,BRD0014,Close out audit task,Done,2024-07-01,2024-09-04
ITM000121,BRD0006,Review device submission,Working on it,2024-07-09,2024-10-31
ITM000122,BRD0004,Escalate site issue,Done,2025-05-22,2025-06-17
ITM000123,BRD0010,Review vendor submission,Stuck,2024-07-29,2024-11-21
ITM000124,BRD0012,Follow up with batch,Working on it,2024-09-03,2024-11-26
ITM000125,BRD0014,Escalate region issue,Stuck,2026-04-26,2026-05-25
ITM000126,BRD0006,Close out vendor task,Working on it,2025-09-05,2025-10-06
ITM000127,BRD0010,Approve contract request,Done,2025-12-28,2026-04-17
ITM000128,BRD0015,Approve device request,Stuck,2025-10-31,2026-02-02
ITM000129,BRD0015,Approve contract request,Done,2025-03-01,2025-06-14
ITM000130,BRD0007,Close out batch task,Done,2024-07-13,2024-10-25
ITM000131,BRD0013,Coordinate batch shipment,Done,2025-10-03,2025-12-30
ITM000132,BRD0007,Review shipment submission,Working on it,2025-12-07,2026-01-04
ITM000133,BRD0002,Follow up with site,Working on it,2026-03-21,2026-05-22
ITM000134,BRD0002,Update audit documentation,Working on it,2026-01-27,2026-02-28
ITM000135,BRD0011,Close out batch task,Done,2024-10-18,2025-02-04
ITM000136,BRD0010,Approve site request,Done,2025-02-08,2025-05-24
ITM000137,BRD0015,Schedule site inspection,Done,2025-05-24,2025-06-18
ITM000138,BRD0003,Review shipment submission,Done,2024-04-24,2024-05-23
ITM000139,BRD0001,Close out region task,Working on it,2025-12-11,2026-03-24
ITM000140,BRD0002,Schedule contract inspection,Done,2025-03-24,2025-06-26
ITM000141,BRD0003,Coordinate device fleet shipment,Done,2025-11-09,2026-03-08
ITM000142,BRD0009,Schedule device inspection,Done,2024-02-14,2024-04-26
ITM000143,BRD0001,Update facility documentation,Stuck,2024-09-13,2025-01-08
ITM000144,BRD0003,Escalate shipment issue,Working on it,2025-10-21,2025-10-28
ITM000145,BRD0007,Close out region task,Stuck,2025-06-01,2025-06-09
ITM000146,BRD0004,Update device documentation,Working on it,2026-01-08,2026-03-05
ITM000147,BRD0001,Coordinate site shipment,Done,2025-09-08,2025-11-14
ITM000148,BRD0005,Update region documentation,Done,2024-11-21,2024-11-28
ITM000149,BRD0002,Follow up with contract,Done,2024-01-18,2024-04-06
ITM000150,BRD0012,Update facility documentation,Working on it,2024-05-26,2024-09-18
ITM000151,BRD0002,Schedule vendor inspection,Working on it,2025-07-30,2025-08-06
ITM000152,BRD0014,Close out device fleet task,Working on it,2024-08-17,2024-11-22
ITM000153,BRD0011,Review device fleet submission,Done,2024-01-21,2024-04-13
ITM000154,BRD0014,Coordinate device fleet shipment,Done,2024-10-16,2025-01-11
ITM000155,BRD0010,Close out shipment task,Stuck,2024-08-31,2024-11-26
ITM000156,BRD0008,Approve facility request,Stuck,2025-10-13,2025-12-10
ITM000157,BRD0008,Update shipment documentation,Done,2025-01-03,2025-01-31
ITM000158,BRD0003,Approve region request,Stuck,2025-02-01,2025-03-05
ITM000159,BRD0015,Update facility documentation,Done,2025-03-18,2025-06-29
ITM000160,BRD0005,Update vendor documentation,Done,2025-12-28,2026-04-19
ITM000161,BRD0009,Schedule contract inspection,Working on it,2025-10-03,2025-11-17
ITM000162,BRD0004,Close out contract task,Stuck,2025-04-16,2025-07-18
ITM000163,BRD0008,Coordinate contract shipment,Done,2024-12-11,2025-01-21
ITM000164,BRD0011,Close out region task,Done,2024-07-29,2024-08-29
ITM000165,BRD0004,Schedule device fleet inspection,Working on it,2026-06-13,2026-09-14
ITM000166,BRD0011,Escalate shipment issue,Done,2026-02-21,2026-06-02
ITM000167,BRD0007,Escalate batch issue,Working on it,2024-05-24,2024-07-23
ITM000168,BRD0002,Coordinate batch shipment,Stuck,2026-03-04,2026-06-23
ITM000169,BRD0010,Close out vendor task,Working on it,2024-12-11,2025-02-19
ITM000170,BRD0015,Update contract documentation,Stuck,2025-03-18,2025-04-10
ITM000171,BRD0008,Review device submission,Working on it,2025-11-14,2025-12-06
ITM000172,BRD0005,Update contract documentation,Done,2026-03-31,2026-04-25
ITM000173,BRD0003,Close out facility task,Done,2026-06-07,2026-09-09
ITM000174,BRD0003,Coordinate facility shipment,Done,2026-02-20,2026-05-09
ITM000175,BRD0009,Review site submission,Done,2024-03-28,2024-03-30
ITM000176,BRD0001,Review facility submission,Stuck,2024-11-16,2025-03-15
ITM000177,BRD0015,Escalate device issue,Done,2024-08-06,2024-09-14
ITM000178,BRD0014,Follow up with facility,Done,2024-11-19,2025-02-01
ITM000179,BRD0015,Coordinate shipment shipment,Working on it,2024-06-28,2024-08-04
ITM000180,BRD0005,Follow up with audit,Working on it,2026-06-20,2026-07-09
ITM000181,BRD0003,Close out site task,Done,2025-09-25,2025-11-16
ITM000182,BRD0003,Coordinate batch shipment,Done,2024-09-12,2024-09-26
ITM000183,BRD0011,Update shipment documentation,Working on it,2024-02-10,2024-02-27
ITM000184,BRD0015,Close out shipment task,Working on it,2024-06-23,2024-09-29
ITM000185,BRD0001,Escalate shipment issue,Done,2024-07-05,2024-08-31
ITM000186,BRD0015,Review shipment submission,Stuck,2025-08-03,2025-09-16
ITM000187,BRD0015,Escalate site issue,Stuck,2024-03-11,2024-04-02
ITM000188,BRD0003,Approve contract request,Stuck,2024-04-23,2024-08-20
ITM000189,BRD0013,Schedule facility inspection,Working on it,2026-03-22,2026-06-30
ITM000190,BRD0002,Escalate device fleet issue,Stuck,2025-05-21,2025-05-23
ITM000191,BRD0010,Close out region task,Working on it,2024-09-15,2024-10-09
ITM000192,BRD0009,Approve audit request,Stuck,2024-01-25,2024-03-27
ITM000193,BRD0006,Update vendor documentation,Done,2025-12-18,2026-01-26
ITM000194,BRD0005,Coordinate contract shipment,Working on it,2024-10-06,2025-01-09
ITM000195,BRD0013,Coordinate site shipment,Working on it,2024-02-02,2024-02-18
ITM000196,BRD0014,Review device fleet submission,Working on it,2025-01-24,2025-02-18
ITM000197,BRD0015,Coordinate contract shipment,Working on it,2025-12-12,2026-03-08
ITM000198,BRD0005,Close out facility task,Working on it,2025-06-08,2025-09-25
ITM000199,BRD0013,Close out contract task,Done,2024-05-15,2024-09-12
ITM000200,BRD0006,Approve audit request,Working on it,2024-10-15,2024-11-18
ITM000201,BRD0002,Coordinate site shipment,Done,2024-11-22,2025-03-12
ITM000202,BRD0009,Follow up with vendor,Done,2026-04-05,2026-07-11
ITM000203,BRD0002,Schedule site inspection,Working on it,2024-03-07,2024-03-26
ITM000204,BRD0010,Schedule site inspection,Stuck,2024-01-10,2024-04-11
ITM000205,BRD0001,Escalate device fleet issue,Working on it,2025-08-19,2025-11-07
ITM000206,BRD0014,Coordinate facility shipment,Done,2024-04-18,2024-07-05
ITM000207,BRD0002,Review region submission,Working on it,2026-02-02,2026-05-31
ITM000208,BRD0002,Update site documentation,Done,2024-04-03,2024-04-03
ITM000209,BRD0007,Schedule device inspection,Working on it,2024-03-22,2024-05-10
ITM000210,BRD0006,Schedule shipment inspection,Done,2025-12-26,2026-02-27
ITM000211,BRD0010,Update shipment documentation,Working on it,2025-11-23,2026-02-06
ITM000212,BRD0014,Review shipment submission,Working on it,2024-01-07,2024-01-17
ITM000213,BRD0003,Schedule batch inspection,Working on it,2025-07-09,2025-09-20
ITM000214,BRD0004,Follow up with site,Working on it,2026-05-18,2026-06-28
ITM000215,BRD0013,Schedule region inspection,Working on it,2026-05-06,2026-07-20
ITM000216,BRD0005,Close out audit task,Done,2024-08-11,2024-10-04
ITM000217,BRD0005,Escalate device issue,Done,2025-11-01,2026-02-22
ITM000218,BRD0011,Approve batch request,Done,2024-03-07,2024-03-14
ITM000219,BRD0002,Coordinate facility shipment,Stuck,2024-03-02,2024-05-20
ITM000220,BRD0013,Close out site task,Done,2026-01-03,2026-03-01
ITM000221,BRD0001,Follow up with facility,Done,2025-01-05,2025-04-04
ITM000222,BRD0011,Follow up with device fleet,Working on it,2026-05-09,2026-06-18
ITM000223,BRD0008,Escalate shipment issue,Working on it,2024-11-03,2025-02-08
ITM000224,BRD0008,Escalate audit issue,Stuck,2024-07-13,2024-08-11
ITM000225,BRD0010,Update vendor documentation,Done,2025-02-23,2025-04-23
ITM000226,BRD0015,Coordinate facility shipment,Stuck,2026-05-16,2026-09-13
ITM000227,BRD0007,Coordinate shipment shipment,Done,2024-05-25,2024-08-27
ITM000228,BRD0013,Close out contract task,Stuck,2026-06-13,2026-06-30
ITM000229,BRD0013,Escalate contract issue,Stuck,2025-10-09,2025-10-28
ITM000230,BRD0007,Escalate vendor issue,Working on it,2026-04-17,2026-07-10
ITM000231,BRD0015,Update region documentation,Done,2024-07-07,2024-08-03
ITM000232,BRD0002,Review contract submission,Done,2024-10-04,2024-11-16
ITM000233,BRD0004,Review shipment submission,Working on it,2024-11-06,2025-02-20
ITM000234,BRD0014,Approve device request,Working on it,2025-09-13,2025-12-14
ITM000235,BRD0008,Close out contract task,Stuck,2024-06-12,2024-08-13
ITM000236,BRD0011,Review facility submission,Stuck,2024-03-09,2024-04-19
ITM000237,BRD0012,Coordinate device fleet shipment,Working on it,2024-08-28,2024-11-02
ITM000238,BRD0008,Schedule contract inspection,Done,2024-11-11,2025-01-30
ITM000239,BRD0003,Escalate batch issue,Done,2025-03-15,2025-06-01
ITM000240,BRD0002,Update audit documentation,Working on it,2026-01-12,2026-02-28
ITM000241,BRD0013,Update facility documentation,Done,2025-04-29,2025-05-07
ITM000242,BRD0001,Coordinate facility shipment,Working on it,2024-08-02,2024-11-30
ITM000243,BRD0006,Schedule facility inspection,Done,2025-05-02,2025-08-10
ITM000244,BRD0005,Escalate device fleet issue,Done,2025-12-16,2026-01-09
ITM000245,BRD0015,Update facility documentation,Done,2025-08-09,2025-12-03
ITM000246,BRD0004,Schedule device inspection,Done,2025-04-26,2025-08-17
ITM000247,BRD0001,Escalate audit issue,Stuck,2025-01-28,2025-05-04
ITM000248,BRD0003,Escalate site issue,Done,2025-04-18,2025-07-04
ITM000249,BRD0015,Approve site request,Working on it,2026-03-07,2026-03-31
ITM000250,BRD0013,Approve region request,Working on it,2026-03-07,2026-03-14
ITM000251,BRD0008,Schedule device inspection,Done,2024-12-01,2025-01-15
ITM000252,BRD0014,Coordinate audit shipment,Working on it,2024-10-06,2024-11-15
ITM000253,BRD0008,Escalate device fleet issue,Stuck,2024-07-23,2024-11-05
ITM000254,BRD0013,Schedule device fleet inspection,Done,2024-10-29,2025-01-30
ITM000255,BRD0001,Schedule audit inspection,Done,2024-10-16,2024-11-16
ITM000256,BRD0013,Close out contract task,Done,2026-05-23,2026-05-24
ITM000257,BRD0005,Approve device request,Working on it,2024-01-26,2024-01-29
ITM000258,BRD0011,Close out site task,Working on it,2026-03-05,2026-06-29
ITM000259,BRD0003,Coordinate contract shipment,Done,2025-08-31,2025-10-26
ITM000260,BRD0013,Escalate site issue,Stuck,2025-04-11,2025-05-16
ITM000261,BRD0004,Coordinate batch shipment,Working on it,2024-05-11,2024-06-21
ITM000262,BRD0001,Follow up with vendor,Stuck,2025-07-19,2025-09-18
ITM000263,BRD0006,Update facility documentation,Done,2025-01-19,2025-03-30
ITM000264,BRD0001,Close out facility task,Working on it,2024-11-30,2025-02-16
ITM000265,BRD0014,Review batch submission,Working on it,2026-02-13,2026-04-26
ITM000266,BRD0001,Review region submission,Done,2024-03-10,2024-03-27
ITM000267,BRD0003,Follow up with audit,Working on it,2025-12-31,2026-01-30
ITM000268,BRD0002,Escalate facility issue,Working on it,2025-02-26,2025-04-10
ITM000269,BRD0013,Follow up with shipment,Working on it,2024-03-04,2024-05-10
ITM000270,BRD0007,Close out region task,Done,2024-04-01,2024-07-14
ITM000271,BRD0004,Coordinate region shipment,Working on it,2026-06-08,2026-07-11
ITM000272,BRD0004,Schedule vendor inspection,Done,2025-07-25,2025-07-28
ITM000273,BRD0001,Schedule shipment inspection,Working on it,2024-08-12,2024-11-17
ITM000274,BRD0004,Update region documentation,Done,2024-11-26,2025-01-14
ITM000275,BRD0013,Close out vendor task,Done,2024-10-23,2024-12-25
ITM000276,BRD0001,Close out audit task,Working on it,2024-07-23,2024-10-06
ITM000277,BRD0001,Schedule device inspection,Done,2024-01-08,2024-02-21
ITM000278,BRD0012,Follow up with device fleet,Stuck,2025-06-05,2025-09-28
ITM000279,BRD0014,Update contract documentation,Working on it,2025-07-03,2025-07-03
ITM000280,BRD0015,Approve batch request,Done,2025-06-07,2025-07-26
ITM000281,BRD0003,Schedule device fleet inspection,Working on it,2024-07-19,2024-08-29
ITM000282,BRD0015,Approve contract request,Working on it,2024-10-19,2024-12-15
ITM000283,BRD0001,Coordinate device fleet shipment,Stuck,2025-11-18,2026-01-22
ITM000284,BRD0013,Close out device task,Working on it,2024-02-12,2024-04-01
ITM000285,BRD0013,Follow up with device,Working on it,2025-08-06,2025-11-08
ITM000286,BRD0012,Approve device request,Stuck,2026-04-17,2026-05-25
ITM000287,BRD0006,Coordinate vendor shipment,Done,2024-08-23,2024-11-03
ITM000288,BRD0015,Approve device request,Done,2024-11-13,2024-11-14
ITM000289,BRD0004,Update facility documentation,Working on it,2026-01-07,2026-02-25
ITM000290,BRD0012,Escalate shipment issue,Stuck,2025-09-08,2025-12-13
ITM000291,BRD0003,Coordinate shipment shipment,Done,2024-10-19,2025-01-28
ITM000292,BRD0011,Schedule site inspection,Done,2026-06-24,2026-06-24
ITM000293,BRD0014,Review device fleet submission,Working on it,2024-01-12,2024-02-16
ITM000294,BRD0015,Review batch submission,Working on it,2026-01-16,2026-03-29
ITM000295,BRD0003,Follow up with vendor,Working on it,2025-10-23,2025-11-16
ITM000296,BRD0007,Escalate site issue,Working on it,2025-10-31,2025-11-02
ITM000297,BRD0005,Review site submission,Working on it,2024-09-26,2024-11-23
ITM000298,BRD0015,Schedule site inspection,Stuck,2026-02-01,2026-04-29
ITM000299,BRD0013,Review shipment submission,Working on it,2024-04-25,2024-05-06
ITM000300,BRD0012,Schedule shipment inspection,Stuck,2025-08-16,2025-11-12
ITM000301,BRD0009,Approve batch request,Working on it,2025-07-30,2025-09-29
ITM000302,BRD0002,Update device documentation,Working on it,2025-11-25,2026-01-12
ITM000303,BRD0001,Review shipment submission,Working on it,2025-04-21,2025-06-12
ITM000304,BRD0003,Review device fleet submission,Stuck,2025-11-03,2025-11-11
ITM000305,BRD0013,Approve batch request,Done,2024-07-26,2024-11-05
ITM000306,BRD0005,Review batch submission,Stuck,2024-07-11,2024-08-10
ITM000307,BRD0012,Coordinate vendor shipment,Stuck,2024-02-15,2024-06-05
ITM000308,BRD0010,Close out audit task,Stuck,2025-05-15,2025-08-24
ITM000309,BRD0004,Review batch submission,Working on it,2025-09-04,2025-10-21
ITM000310,BRD0008,Coordinate audit shipment,Working on it,2025-11-05,2026-02-28
ITM000311,BRD0006,Update facility documentation,Done,2024-12-21,2025-02-11
ITM000312,BRD0003,Close out facility task,Done,2024-12-21,2025-03-29
ITM000313,BRD0005,Update shipment documentation,Done,2025-02-21,2025-04-08
ITM000314,BRD0007,Follow up with device fleet,Working on it,2024-05-20,2024-07-01
ITM000315,BRD0015,Escalate shipment issue,Done,2025-07-06,2025-10-24
ITM000316,BRD0011,Update vendor documentation,Working on it,2026-05-30,2026-08-18
ITM000317,BRD0003,Escalate audit issue,Done,2026-02-01,2026-02-21
ITM000318,BRD0014,Update device documentation,Done,2025-02-09,2025-02-19
ITM000319,BRD0014,Close out site task,Stuck,2025-07-11,2025-07-16
ITM000320,BRD0009,Follow up with device fleet,Working on it,2025-07-17,2025-10-10
ITM000321,BRD0003,Schedule facility inspection,Done,2024-11-29,2025-03-02
ITM000322,BRD0014,Escalate audit issue,Stuck,2025-06-19,2025-09-11
ITM000323,BRD0014,Close out device task,Done,2026-02-06,2026-03-30
ITM000324,BRD0012,Follow up with device,Done,2025-04-09,2025-04-28
ITM000325,BRD0014,Schedule vendor inspection,Stuck,2025-05-31,2025-09-10
ITM000326,BRD0002,Coordinate region shipment,Stuck,2025-12-12,2026-01-20
ITM000327,BRD0004,Close out batch task,Done,2025-07-08,2025-09-27
ITM000328,BRD0002,Schedule vendor inspection,Working on it,2024-10-29,2024-11-13
ITM000329,BRD0004,Update site documentation,Working on it,2025-04-08,2025-04-23
ITM000330,BRD0007,Escalate contract issue,Working on it,2025-09-03,2025-10-11
ITM000331,BRD0006,Close out facility task,Working on it,2025-03-14,2025-06-01
ITM000332,BRD0010,Coordinate device fleet shipment,Done,2025-11-26,2026-01-27
ITM000333,BRD0001,Coordinate facility shipment,Working on it,2024-09-18,2024-12-16
ITM000334,BRD0008,Close out audit task,Done,2025-03-08,2025-06-04
ITM000335,BRD0010,Escalate shipment issue,Stuck,2025-01-24,2025-01-28
ITM000336,BRD0008,Follow up with shipment,Working on it,2024-04-04,2024-04-14
ITM000337,BRD0004,Follow up with shipment,Working on it,2024-12-11,2025-01-10
ITM000338,BRD0010,Coordinate vendor shipment,Working on it,2025-07-19,2025-10-26
ITM000339,BRD0012,Coordinate device shipment,Done,2024-04-07,2024-04-08
ITM000340,BRD0011,Update device fleet documentation,Stuck,2026-03-10,2026-03-13
ITM000341,BRD0015,Coordinate site shipment,Done,2025-04-19,2025-05-24
ITM000342,BRD0012,Close out audit task,Done,2024-02-19,2024-03-22
ITM000343,BRD0010,Follow up with audit,Done,2025-04-07,2025-05-14
ITM000344,BRD0014,Update vendor documentation,Working on it,2024-12-05,2025-01-28
ITM000345,BRD0002,Update site documentation,Working on it,2025-05-12,2025-06-12
ITM000346,BRD0001,Close out region task,Done,2024-02-14,2024-03-23
ITM000347,BRD0003,Schedule facility inspection,Stuck,2025-08-20,2025-12-06
ITM000348,BRD0008,Schedule shipment inspection,Done,2024-04-28,2024-05-10
ITM000349,BRD0003,Update region documentation,Done,2025-09-11,2025-11-22
ITM000350,BRD0001,Coordinate shipment shipment,Working on it,2025-12-16,2026-02-09
ITM000351,BRD0001,Escalate audit issue,Working on it,2025-04-30,2025-05-04
ITM000352,BRD0005,Close out audit task,Done,2024-03-09,2024-03-17
ITM000353,BRD0002,Approve facility request,Done,2025-06-03,2025-09-28
ITM000354,BRD0004,Update site documentation,Working on it,2024-03-29,2024-06-10
ITM000355,BRD0003,Schedule shipment inspection,Done,2025-07-13,2025-08-29
ITM000356,BRD0009,Approve shipment request,Working on it,2026-03-19,2026-06-11
ITM000357,BRD0003,Close out site task,Done,2024-08-25,2024-09-19
ITM000358,BRD0003,Approve region request,Done,2025-02-04,2025-02-05
ITM000359,BRD0006,Review audit submission,Done,2024-04-25,2024-07-01
ITM000360,BRD0011,Approve device fleet request,Done,2024-11-06,2025-02-26
